"model","n_days","run","rmse_base","rmse_corr","improvement_pct"
"RF",1,0,1.73502254090803,1.71060559211514,1.40729864985533
"LSTM_2h",1,0,1.73502254090803,1.65796731683439,4.44116559046586
"RF",1,1,1.73502254090803,1.71636942821016,1.07509339262532
"LSTM_2h",1,1,1.73502254090803,1.66404018364163,4.09114899621114
"RF",1,2,1.73502254090803,1.72782118891949,0.415058122804992
"LSTM_2h",1,2,1.73502254090803,1.66134295372216,4.2466069142423
"RF",1,3,1.73502254090803,1.71579332247324,1.10829790284557
"LSTM_2h",1,3,1.73502254090803,1.64242694455708,5.33685264414401
"RF",1,4,1.73502254090803,1.7108026271381,1.39594231192261
"LSTM_2h",1,4,1.73502254090803,1.64258916448765,5.32750291370838
"RF",2,0,1.73502254090803,1.56178740355751,9.98460442247954
"LSTM_2h",2,0,1.73502254090803,1.60789846251991,7.32694102761266
"RF",2,1,1.73502254090803,1.54124817568919,11.168406210874
"LSTM_2h",2,1,1.73502254090803,1.61210976652309,7.08421772552958
"RF",2,2,1.73502254090803,1.53348762500027,11.6156943875947
"LSTM_2h",2,2,1.73502254090803,1.59776549660586,7.91096605755522
"RF",2,3,1.73502254090803,1.53823889272394,11.3418496615667
"LSTM_2h",2,3,1.73502254090803,1.62246309891001,6.48749162296797
"RF",2,4,1.73502254090803,1.53865421228902,11.3179122454648
"LSTM_2h",2,4,1.73502254090803,1.62083499952836,6.58132898491964
"RF",3,0,1.73502254090803,1.49275654854105,13.9632763641319
"LSTM_2h",3,0,1.73502254090803,1.67131350036149,3.67194310416264
"RF",3,1,1.73502254090803,1.49045765839676,14.0957755155891
"LSTM_2h",3,1,1.73502254090803,1.64481362347472,5.19929368676061
"RF",3,2,1.73502254090803,1.48030881869762,14.6807154492125
"LSTM_2h",3,2,1.73502254090803,1.66764475767588,3.88339526683507
"RF",3,3,1.73502254090803,1.49295817671638,13.9516552946317
"LSTM_2h",3,3,1.73502254090803,1.64079696551934,5.43079834221484
"RF",3,4,1.73502254090803,1.48251066851058,14.5538093277622
"LSTM_2h",3,4,1.73502254090803,1.64938949712537,4.93555799787148
"RF",7,0,1.73502254090803,1.43001120717552,17.5796755685304
"LSTM_2h",7,0,1.73502254090803,1.69093438034832,2.541071341738
"RF",7,1,1.73502254090803,1.41614056148688,18.3791260287754
"LSTM_2h",7,1,1.73502254090803,1.7444962075232,-0.546025564037659
"RF",7,2,1.73502254090803,1.406273881802,18.9478033486515
"LSTM_2h",7,2,1.73502254090803,1.72851642377852,0.374987469967067
"RF",7,3,1.73502254090803,1.43091091824889,17.52781969622
"LSTM_2h",7,3,1.73502254090803,1.72379852825901,0.646908751003333
"RF",7,4,1.73502254090803,1.41765273005709,18.291970471164
"LSTM_2h",7,4,1.73502254090803,1.71228914448862,1.3102651915699
"RF",14,0,1.73502254090803,1.48163910238687,14.6040430338469
"LSTM_2h",14,0,1.73502254090803,1.45830748564882,15.9487873347387
"RF",14,1,1.73502254090803,1.48271680847502,14.5419282161583
"LSTM_2h",14,1,1.73502254090803,1.46864230483159,15.3531282617817
"RF",14,2,1.73502254090803,1.4885680688864,14.2046841588952
"LSTM_2h",14,2,1.73502254090803,1.47994272630704,14.7018156010522
"RF",14,3,1.73502254090803,1.48393773668927,14.471558628129
"LSTM_2h",14,3,1.73502254090803,1.48185659077973,14.5915078426475
"RF",14,4,1.73502254090803,1.48785111414317,14.246006661994
"LSTM_2h",14,4,1.73502254090803,1.44452583459078,16.7431084881013
"RF",21,0,1.73502254090803,1.43971400644681,17.0204436829199
"LSTM_2h",21,0,1.73502254090803,1.4133762374988,18.5384509898581
"RF",21,1,1.73502254090803,1.45202225590908,16.3110437084488
"LSTM_2h",21,1,1.73502254090803,1.40314704955671,19.1280218859652
"RF",21,2,1.73502254090803,1.44135435475205,16.9259003403084
"LSTM_2h",21,2,1.73502254090803,1.55556196542805,10.3434146386397
"RF",21,3,1.73502254090803,1.43726660281883,17.1615025781376
