"model","n_days","run","rmse_base","rmse_corr","improvement_pct"
"RF",1,0,5.49043454444813,1.91665722642027,65.0909739310457
"LSTM_2h",1,0,5.49043454444813,2.82804578109987,48.4914033997625
"RF",1,1,5.49043454444813,1.91383388272912,65.1423968861559
"LSTM_2h",1,1,5.49043454444813,2.91121351127041,46.9766283943008
"RF",1,2,5.49043454444813,1.90693902348654,65.2679763678301
"LSTM_2h",1,2,5.49043454444813,2.80494861940863,48.9120834298086
"RF",1,3,5.49043454444813,1.91348874643069,65.1486830242682
"LSTM_2h",1,3,5.49043454444813,2.83681943421388,48.3316045160316
"RF",1,4,5.49043454444813,1.91355982790367,65.1473883822429
"LSTM_2h",1,4,5.49043454444813,2.85058876514402,48.0808168813067
"RF",2,0,5.49043454444813,1.82587830940793,66.7443752470514
"LSTM_2h",2,0,5.49043454444813,3.47467021400161,36.7141127742764
"RF",2,1,5.49043454444813,1.83122725190222,66.6469523117449
"LSTM_2h",2,1,5.49043454444813,3.47737594876009,36.6648318888279
"RF",2,2,5.49043454444813,1.82865620141891,66.6937801258731
"LSTM_2h",2,2,5.49043454444813,3.38791710239508,38.2941901052094
"RF",2,3,5.49043454444813,1.82405808215067,66.7775279463964
"LSTM_2h",2,3,5.49043454444813,3.43981460658189,37.3489551922589
"RF",2,4,5.49043454444813,1.84298457630629,66.4328103470445
"LSTM_2h",2,4,5.49043454444813,3.43250531985981,37.4820828465987
"RF",3,0,5.49043454444813,1.86142679016589,66.0969131842551
"LSTM_2h",3,0,5.49043454444813,2.1369549772945,61.078582032175
"RF",3,1,5.49043454444813,1.81925583941677,66.8649935685623
"LSTM_2h",3,1,5.49043454444813,3.294575620709,39.9942646790965
"RF",3,2,5.49043454444813,1.81780004994485,66.8915085822671
"LSTM_2h",3,2,5.49043454444813,2.26603211496868,58.7276362804459
"RF",3,3,5.49043454444813,1.81771304800675,66.893093191598
"LSTM_2h",3,3,5.49043454444813,3.56527385838971,35.0639037852682
"RF",3,4,5.49043454444813,1.85462436235275,66.2208091665873
"LSTM_2h",3,4,5.49043454444813,3.57291311538014,34.9247662192234
"RF",7,0,5.49043454444813,1.32998301170128,75.776361580594
"LSTM_2h",7,0,5.49043454444813,1.00635834689952,81.6706976696928
"RF",7,1,5.49043454444813,1.32474389169802,75.8717842645518
