"model","perc","train_size","ts_name","rmse_corr","rmse_base","run"
"RF",1,24,"ALL",7.38863282382406,9.01719510528874,0
"RF",1,24,"ALL",7.49181515869018,9.01719510528874,1
"RF",1,24,"ALL",7.42212565634333,9.01719510528874,2
"RF",1,24,"ALL",7.48966894572684,9.01719510528874,3
"RF",1,24,"ALL",7.46784635561975,9.01719510528874,4
"LSTM_2h",1,24,"ALL",7.32466607614333,9.01719510528874,0
"LSTM_2h",1,24,"ALL",7.68015174711173,9.01719510528874,1
"LSTM_2h",1,24,"ALL",7.691291615064,9.01719510528874,2
"LSTM_2h",1,24,"ALL",7.32176969978594,9.01719510528874,3
"LSTM_2h",1,24,"ALL",7.33157315361418,9.01719510528874,4
"RF",2,48,"ALL",6.90870372157209,9.01719510528874,0
"RF",2,48,"ALL",6.99888947410959,9.01719510528874,1
"RF",2,48,"ALL",6.94327963895153,9.01719510528874,2
"RF",2,48,"ALL",6.95337446448419,9.01719510528874,3
"RF",2,48,"ALL",6.93427974920092,9.01719510528874,4
"LSTM_2h",2,48,"ALL",7.91696996603797,9.01719510528874,0
"LSTM_2h",2,48,"ALL",7.93484834626491,9.01719510528874,1
"LSTM_2h",2,48,"ALL",7.94233579235127,9.01719510528874,2
"LSTM_2h",2,48,"ALL",7.74601035614565,9.01719510528874,3
"LSTM_2h",2,48,"ALL",7.95203660955486,9.01719510528874,4
"RF",3,72,"ALL",6.92471366172034,9.01719510528874,0
"RF",3,72,"ALL",6.89951416163457,9.01719510528874,1
"RF",3,72,"ALL",6.89484343714805,9.01719510528874,2
"RF",3,72,"ALL",6.91406888464306,9.01719510528874,3
"RF",3,72,"ALL",6.97566774664451,9.01719510528874,4
"LSTM_2h",3,72,"ALL",7.76554671440668,9.01719510528874,0
"LSTM_2h",3,72,"ALL",7.80460810625426,9.01719510528874,1
"LSTM_2h",3,72,"ALL",8.07223997978247,9.01719510528874,2
"LSTM_2h",3,72,"ALL",7.7236752214077,9.01719510528874,3
"LSTM_2h",3,72,"ALL",7.8202107310771,9.01719510528874,4
"RF",7,168,"ALL",6.16659006790702,9.01719510528874,0
"RF",7,168,"ALL",6.17033363244604,9.01719510528874,1
"RF",7,168,"ALL",6.15521072626902,9.01719510528874,2
"RF",7,168,"ALL",6.15244235511859,9.01719510528874,3
"RF",7,168,"ALL",6.16174410497549,9.01719510528874,4
"LSTM_2h",7,168,"ALL",7.72265513745412,9.01719510528874,0
"LSTM_2h",7,168,"ALL",7.70722682916192,9.01719510528874,1
"LSTM_2h",7,168,"ALL",7.83696793357743,9.01719510528874,2
"LSTM_2h",7,168,"ALL",7.7149532312851,9.01719510528874,3
"LSTM_2h",7,168,"ALL",7.73456128531833,9.01719510528874,4
"RF",14,336,"ALL",5.57762502251421,9.01719510528874,0
"RF",14,336,"ALL",5.706201396923,9.01719510528874,1
"RF",14,336,"ALL",5.66256342460663,9.01719510528874,2
"RF",14,336,"ALL",5.66241159837902,9.01719510528874,3
"RF",14,336,"ALL",5.6187637366533,9.01719510528874,4
"LSTM_2h",14,336,"ALL",8.49083731686844,9.01719510528874,0
"LSTM_2h",14,336,"ALL",8.51203518959887,9.01719510528874,1
"LSTM_2h",14,336,"ALL",8.46827708341444,9.01719510528874,2
"LSTM_2h",14,336,"ALL",8.44265533026866,9.01719510528874,3
"LSTM_2h",14,336,"ALL",8.47151369363183,9.01719510528874,4
"RF",21,504,"ALL",5.05027560012568,9.01719510528874,0
"RF",21,504,"ALL",5.06753697486994,9.01719510528874,1
"RF",21,504,"ALL",5.05838972127279,9.01719510528874,2
"RF",21,504,"ALL",5.07076690102839,9.01719510528874,3
