"model","n_days","run","rmse_base","rmse_corr","improvement_pct"
"RF",1,0,8.42297860998436,4.05917743524829,51.8082898793468
"LSTM_2h",1,0,8.42297860998436,3.75560584709839,55.4123781978195
"RF",1,1,8.42297860998436,4.13180565434863,50.9460269856212
"LSTM_2h",1,1,8.42297860998436,3.84463721859134,54.3553724090666
"RF",1,2,8.42297860998436,4.0771777630956,51.5945848626206
"LSTM_2h",1,2,8.42297860998436,4.92845480086505,41.4879815197085
"RF",1,3,8.42297860998436,4.06671004946545,51.7188605388967
"LSTM_2h",1,3,8.42297860998436,3.87097010298972,54.0427409087661
"RF",1,4,8.42297860998436,4.10413711055149,51.2745158145533
"LSTM_2h",1,4,8.42297860998436,3.95952820818984,52.9913538721762
"RF",2,0,8.42297860998436,3.71039938639193,55.9490821691779
"LSTM_2h",2,0,8.42297860998436,4.35259120043679,48.3247981269079
"RF",2,1,8.42297860998436,3.68616228350047,56.2368319547791
"LSTM_2h",2,1,8.42297860998436,4.46404089860251,47.0016355816105
"RF",2,2,8.42297860998436,3.70528890545897,56.0097552537196
"LSTM_2h",2,2,8.42297860998436,4.09857835716132,51.3405109173258
"RF",2,3,8.42297860998436,3.71208565759909,55.9290622773411
"LSTM_2h",2,3,8.42297860998436,4.55139065817908,45.964594368268
"RF",2,4,8.42297860998436,3.72766742118476,55.7440711440714
"LSTM_2h",2,4,8.42297860998436,4.38136128226089,47.9832315249222
"RF",3,0,8.42297860998436,3.68666742631066,56.2308347555271
"LSTM_2h",3,0,8.42297860998436,4.10674319538738,51.2435756334539
"RF",3,1,8.42297860998436,3.70775992047058,55.9804186600272
"LSTM_2h",3,1,8.42297860998436,4.45774710138037,47.0763573340163
"RF",3,2,8.42297860998436,3.63483008643913,56.8462624120818
"LSTM_2h",3,2,8.42297860998436,3.62535124388695,56.9587979293981
"RF",3,3,8.42297860998436,3.64695220443882,56.7023451761373
"LSTM_2h",3,3,8.42297860998436,4.45962492829923,47.054063238236
"RF",3,4,8.42297860998436,3.6653461938824,56.4839664968684
"LSTM_2h",3,4,8.42297860998436,4.49680314869002,46.6126728214691
"RF",7,0,8.42297860998436,3.32031446397055,60.5802814216488
"LSTM_2h",7,0,8.42297860998436,5.01052253877138,40.5136499713765
"RF",7,1,8.42297860998436,3.4225181306523,59.3668903943868
"LSTM_2h",7,1,8.42297860998436,4.62310979217867,45.1131243916664
"RF",7,2,8.42297860998436,3.42634484916472,59.3214585027769
"LSTM_2h",7,2,8.42297860998436,4.16904752684212,50.50388087297
"RF",7,3,8.42297860998436,3.45332797626367,59.0011071360173
"LSTM_2h",7,3,8.42297860998436,5.04268205938243,40.1318429871712
"RF",7,4,8.42297860998436,3.39794584240035,59.6586195960118
"LSTM_2h",7,4,8.42297860998436,3.96265010286614,52.9542898498053
"RF",14,0,8.42297860998436,2.52756327683934,69.9920492040281
"LSTM_2h",14,0,8.42297860998436,3.47209863952432,58.7782564779567
"RF",14,1,8.42297860998436,2.54808120192663,69.7484545561328
"LSTM_2h",14,1,8.42297860998436,2.73476726931842,67.5320644163016
"RF",14,2,8.42297860998436,2.59279940277156,69.2175473448534
"LSTM_2h",14,2,8.42297860998436,2.87644436934509,65.8500335506559
"RF",14,3,8.42297860998436,2.56028513739387,69.6035659599208
"LSTM_2h",14,3,8.42297860998436,2.6121950743459,68.9872764101588
"RF",14,4,8.42297860998436,2.57563326137431,69.4213486625595
"LSTM_2h",14,4,8.42297860998436,2.78579680899634,66.9262271936184
"RF",21,0,8.42297860998436,2.06678358769581,75.4625568531552
"LSTM_2h",21,0,8.42297860998436,3.63592968063943,56.8332077166918
"RF",21,1,8.42297860998436,2.077454698065,75.3358663928881
"LSTM_2h",21,1,8.42297860998436,3.84455764375684,54.356317144156
"RF",21,2,8.42297860998436,2.08940724662667,75.1939623335866
"LSTM_2h",21,2,8.42297860998436,4.93768139770511,41.3784407352985
"RF",21,3,8.42297860998436,2.09695750859488,75.1043234740118
"LSTM_2h",21,3,8.42297860998436,3.78195244310844,55.0995839093617
"RF",21,4,8.42297860998436,2.12613485733778,74.7579216832212
"LSTM_2h",21,4,8.42297860998436,4.28529441660452,49.1237647033218
"RF",28,0,8.42297860998436,2.16017059402943,74.3538397275659
"LSTM_2h",28,0,8.42297860998436,4.58650752509857,45.5476769267602
"RF",28,1,8.42297860998436,2.1652953505363,74.2929971593467
"LSTM_2h",28,1,8.42297860998436,3.21216596621971,61.8642511758003
"RF",28,2,8.42297860998436,2.17783915184869,74.1440735790645
"LSTM_2h",28,2,8.42297860998436,4.13441407851082,50.915059031374
"RF",28,3,8.42297860998436,2.19961487249668,73.8855460241901
"LSTM_2h",28,3,8.42297860998436,4.27832212222208,49.2065417671763
"RF",28,4,8.42297860998436,2.18385376829073,74.0726663403603
"LSTM_2h",28,4,8.42297860998436,3.35519195505051,60.166205918256
"RF",35,0,8.42297860998436,2.3997783013893,71.5091488117437
"LSTM_2h",35,0,8.42297860998436,4.42993922657143,47.4065003403867
"RF",35,1,8.42297860998436,2.32849549699792,72.3554385590177
"LSTM_2h",35,1,8.42297860998436,5.26970958574568,37.4365075615992
"RF",35,2,8.42297860998436,2.35571970821027,72.0322249730295
"LSTM_2h",35,2,8.42297860998436,4.08802266242632,51.4658311303261
"RF",35,3,8.42297860998436,2.39296811487667,71.5900012848174
"LSTM_2h",35,3,8.42297860998436,3.83594031282281,54.4586245502774
"RF",35,4,8.42297860998436,2.39295510211096,71.5901557760764
"LSTM_2h",35,4,8.42297860998436,4.34485105444021,48.4166913437255
"RF",42,0,8.42297860998436,2.27456725571464,72.9956899923926
"LSTM_2h",42,0,8.42297860998436,4.86120833606882,42.2863506942012
"RF",42,1,8.42297860998436,2.28871186367507,72.8277611798504
"LSTM_2h",42,1,8.42297860998436,3.63091232014228,56.892775248909
"RF",42,2,8.42297860998436,2.25398505494974,73.2400477394311
"LSTM_2h",42,2,8.42297860998436,4.62179757430745,45.1287034158095
"RF",42,3,8.42297860998436,2.26399199519072,73.1212424960091
"LSTM_2h",42,3,8.42297860998436,4.05252822785891,51.8872311624399
"RF",42,4,8.42297860998436,2.25761020150284,73.1970089675079
"LSTM_2h",42,4,8.42297860998436,5.12154880192915,39.1955145670415
