"model","perc","train_size","ts_name","rmse_corr","rmse_base","run"
"RF",1,24,"ALL",6.7726687945633,8.18555617172755,0
"RF",1,24,"ALL",6.82891414775286,8.18555617172755,1
"RF",1,24,"ALL",6.76456070203172,8.18555617172755,2
"RF",1,24,"ALL",6.78929792986203,8.18555617172755,3
"RF",1,24,"ALL",6.79347066460982,8.18555617172755,4
"LSTM_2h",1,24,"ALL",7.13336638885268,8.18555617172755,0
"LSTM_2h",1,24,"ALL",7.07760019662851,8.18555617172755,1
"LSTM_2h",1,24,"ALL",7.135545656012,8.18555617172755,2
"LSTM_2h",1,24,"ALL",7.17489253523909,8.18555617172755,3
"LSTM_2h",1,24,"ALL",7.15300446835634,8.18555617172755,4
"RF",2,48,"ALL",6.61674945903377,8.18555617172755,0
"RF",2,48,"ALL",6.58552170524358,8.18555617172755,1
"RF",2,48,"ALL",6.46025276210992,8.18555617172755,2
"RF",2,48,"ALL",6.4919377223913,8.18555617172755,3
"RF",2,48,"ALL",6.47466936719614,8.18555617172755,4
"LSTM_2h",2,48,"ALL",7.1489829332354,8.18555617172755,0
"LSTM_2h",2,48,"ALL",7.20266585564437,8.18555617172755,1
"LSTM_2h",2,48,"ALL",6.48397457524597,8.18555617172755,2
"LSTM_2h",2,48,"ALL",7.03856551021616,8.18555617172755,3
"LSTM_2h",2,48,"ALL",6.59090959846496,8.18555617172755,4
"RF",3,72,"ALL",5.25868286229707,8.18555617172755,0
"RF",3,72,"ALL",5.21953137892367,8.18555617172755,1
"RF",3,72,"ALL",5.23204056656725,8.18555617172755,2
"RF",3,72,"ALL",5.23140794356847,8.18555617172755,3
"RF",3,72,"ALL",5.22512437965006,8.18555617172755,4
"LSTM_2h",3,72,"ALL",6.51351025336886,8.18555617172755,0
"LSTM_2h",3,72,"ALL",7.09804205020668,8.18555617172755,1
"LSTM_2h",3,72,"ALL",7.63588372503296,8.18555617172755,2
"LSTM_2h",3,72,"ALL",6.7478709530667,8.18555617172755,3
"LSTM_2h",3,72,"ALL",6.63735170608473,8.18555617172755,4
"RF",7,168,"ALL",4.40340305175081,8.18555617172755,0
"RF",7,168,"ALL",4.44983461673686,8.18555617172755,1
"RF",7,168,"ALL",4.42407204589354,8.18555617172755,2
"RF",7,168,"ALL",4.4198819924652,8.18555617172755,3
"RF",7,168,"ALL",4.41399111894164,8.18555617172755,4
"LSTM_2h",7,168,"ALL",3.93745314245729,8.18555617172755,0
"LSTM_2h",7,168,"ALL",7.27293573228616,8.18555617172755,1
"LSTM_2h",7,168,"ALL",5.72780773713661,8.18555617172755,2
"LSTM_2h",7,168,"ALL",9.32684796866192,8.18555617172755,3
"LSTM_2h",7,168,"ALL",3.78265865748343,8.18555617172755,4
"RF",14,336,"ALL",4.0913381220969,8.18555617172755,0
"RF",14,336,"ALL",4.05971103070892,8.18555617172755,1
"RF",14,336,"ALL",4.08834079084479,8.18555617172755,2
"RF",14,336,"ALL",4.0749039123606,8.18555617172755,3
"RF",14,336,"ALL",4.09911193467643,8.18555617172755,4
"LSTM_2h",14,336,"ALL",3.32419072116591,8.18555617172755,0
"LSTM_2h",14,336,"ALL",4.5677844986994,8.18555617172755,1
"LSTM_2h",14,336,"ALL",3.36236581276573,8.18555617172755,2
"LSTM_2h",14,336,"ALL",3.52464409453598,8.18555617172755,3
"LSTM_2h",14,336,"ALL",3.37427537928699,8.18555617172755,4
"RF",21,504,"ALL",3.6086467984908,8.18555617172755,0
"RF",21,504,"ALL",3.58847500529502,8.18555617172755,1
"RF",21,504,"ALL",3.55553638655007,8.18555617172755,2
"RF",21,504,"ALL",3.56151027205757,8.18555617172755,3
"RF",21,504,"ALL",3.54515994412683,8.18555617172755,4
"LSTM_2h",21,504,"ALL",3.51321484688299,8.18555617172755,0
"LSTM_2h",21,504,"ALL",3.50189468359483,8.18555617172755,1
"LSTM_2h",21,504,"ALL",2.86971770183803,8.18555617172755,2
"LSTM_2h",21,504,"ALL",2.6288318716426,8.18555617172755,3
