"model","n_days","run","rmse_base","rmse_corr","improvement_pct"
"RF",1,0,11.9145578073983,6.17206654750634,48.1972671812142
"LSTM_2h",1,0,11.9145578073983,7.67629138347394,35.5721671961056
"RF",1,1,11.9145578073983,5.9459852144665,50.0947889918806
"LSTM_2h",1,1,11.9145578073983,7.62196903536454,36.0280997534655
"RF",1,2,11.9145578073983,6.01415965040009,49.5225945635548
"LSTM_2h",1,2,11.9145578073983,7.69237839056363,35.4371474383459
"RF",1,3,11.9145578073983,5.96665246577164,49.9213268152792
"LSTM_2h",1,3,11.9145578073983,7.54067968927527,36.7103688515162
"RF",1,4,11.9145578073983,6.03562262658756,49.3424537934614
"LSTM_2h",1,4,11.9145578073983,8.05934636651526,32.3571508334886
"RF",2,0,11.9145578073983,4.76703311042492,59.9898444618328
"LSTM_2h",2,0,11.9145578073983,6.71925444338462,43.6046679028884
"RF",2,1,11.9145578073983,4.96914053334391,58.293537925022
"LSTM_2h",2,1,11.9145578073983,6.07711411982066,48.9942118032522
"RF",2,2,11.9145578073983,4.9052966923136,58.8293852645739
"LSTM_2h",2,2,11.9145578073983,6.44707089290895,45.8891299439946
"RF",2,3,11.9145578073983,4.87973422599998,59.0439334393936
"LSTM_2h",2,3,11.9145578073983,7.44459918746134,37.5167815054065
"RF",2,4,11.9145578073983,4.90359443559162,58.8436724647326
"LSTM_2h",2,4,11.9145578073983,5.74041801797312,51.8201337324612
"RF",3,0,11.9145578073983,5.02371843644409,57.8354604706805
"LSTM_2h",3,0,11.9145578073983,6.99557629074784,41.2854727482715
"RF",3,1,11.9145578073983,4.98340865018056,58.1737842835752
"LSTM_2h",3,1,11.9145578073983,6.23958815336791,47.630552016849
"RF",3,2,11.9145578073983,5.0508876918245,57.6074263646767
"LSTM_2h",3,2,11.9145578073983,7.12261278590333,40.2192435418748
"RF",3,3,11.9145578073983,4.98495674616616,58.1607909689207
"LSTM_2h",3,3,11.9145578073983,6.06329010369169,49.11023806585
"RF",3,4,11.9145578073983,4.99495013992423,58.0769154787883
"LSTM_2h",3,4,11.9145578073983,5.82179372915577,51.1371397640898
"RF",7,0,11.9145578073983,3.48799386401224,70.7249406952697
"LSTM_2h",7,0,11.9145578073983,4.83952823014752,59.3813861296436
"RF",7,1,11.9145578073983,3.51973782399308,70.458510664932
"LSTM_2h",7,1,11.9145578073983,6.72349174284936,43.5691038514713
"RF",7,2,11.9145578073983,3.47481805062532,70.8355265315207
"LSTM_2h",7,2,11.9145578073983,6.41419374077565,46.1650709622411
"RF",7,3,11.9145578073983,3.46303003955937,70.934464412863
"LSTM_2h",7,3,11.9145578073983,7.30318142321831,38.7037140506934
"RF",7,4,11.9145578073983,3.41859734360635,71.3073921930735
"LSTM_2h",7,4,11.9145578073983,8.25225484562744,30.7380518939342
"RF",14,0,11.9145578073983,4.65089335099893,60.964616344293
"LSTM_2h",14,0,11.9145578073983,3.36152944326544,71.7863684275542
"RF",14,1,11.9145578073983,4.76888106252685,59.9743344266993
"LSTM_2h",14,1,11.9145578073983,4.89761789862121,58.893834099491
"RF",14,2,11.9145578073983,4.79729023396202,59.7358935890751
"LSTM_2h",14,2,11.9145578073983,3.02725261892988,74.5919851339333
"RF",14,3,11.9145578073983,4.83554142187915,59.4148477849801
"LSTM_2h",14,3,11.9145578073983,3.00959848359797,74.7401579458604
"RF",14,4,11.9145578073983,4.78070086007058,59.8751297584707
"LSTM_2h",14,4,11.9145578073983,3.18352758329662,73.2803547159777
"RF",21,0,11.9145578073983,4.0415181067735,66.0791598638774
"LSTM_2h",21,0,11.9145578073983,2.19403580228602,81.5852519434364
"RF",21,1,11.9145578073983,3.89365992210778,67.3201474612007
"LSTM_2h",21,1,11.9145578073983,2.99098178588672,74.8964096340237
"RF",21,2,11.9145578073983,3.96783154906517,66.6976180467113
"LSTM_2h",21,2,11.9145578073983,3.1391673448164,73.6526743538301
"RF",21,3,11.9145578073983,4.04332256029429,66.0640149164109
"LSTM_2h",21,3,11.9145578073983,2.00284949327162,83.1898965480032
"RF",21,4,11.9145578073983,3.94558726957486,66.8843163686289
"LSTM_2h",21,4,11.9145578073983,2.16909614251887,81.7945728445585
"RF",28,0,11.9145578073983,3.1559224157231,73.5120474738606
"LSTM_2h",28,0,11.9145578073983,2.72057326937188,77.1659736487867
"RF",28,1,11.9145578073983,3.12291357334878,73.7890937806385
"LSTM_2h",28,1,11.9145578073983,1.355857593349,88.6201601833089
"RF",28,2,11.9145578073983,3.16068454464372,73.472078479647
"LSTM_2h",28,2,11.9145578073983,1.41613516091368,88.1142449110925
"RF",28,3,11.9145578073983,3.102096386675,73.9638143788369
"LSTM_2h",28,3,11.9145578073983,2.34772679624093,80.2953090312499
"RF",28,4,11.9145578073983,3.13860304701235,73.6574105581708
"LSTM_2h",28,4,11.9145578073983,1.3041417335565,89.0542162400127
"RF",35,0,11.9145578073983,2.05684980092539,82.7366669063606
"LSTM_2h",35,0,11.9145578073983,1.51027874980745,87.3240889488182
"RF",35,1,11.9145578073983,2.06033365628693,82.7074265818949
"LSTM_2h",35,1,11.9145578073983,1.54169773944734,87.0603864249999
"RF",35,2,11.9145578073983,2.08035924815354,82.5393499130807
"LSTM_2h",35,2,11.9145578073983,1.61086941469081,86.479822073711
"RF",35,3,11.9145578073983,2.04552752546802,82.8316958251035
"LSTM_2h",35,3,11.9145578073983,1.85811056699704,84.4047039173938
"RF",35,4,11.9145578073983,2.0791585760841,82.5494272662553
"LSTM_2h",35,4,11.9145578073983,1.61196127053504,86.47065802531
"RF",42,0,11.9145578073983,1.86374555800146,84.3574089099289
"LSTM_2h",42,0,11.9145578073983,1.34250361488011,88.7322413757858
"RF",42,1,11.9145578073983,1.8432083916441,84.5297792713753
"LSTM_2h",42,1,11.9145578073983,1.8687178791242,84.3156757528691
"RF",42,2,11.9145578073983,1.84981190905358,84.4743553310477
"LSTM_2h",42,2,11.9145578073983,1.22723256531979,89.6997220949506
"RF",42,3,11.9145578073983,1.83818580671927,84.5719342972355
"LSTM_2h",42,3,11.9145578073983,1.43895649961549,87.9227032771458
"RF",42,4,11.9145578073983,1.88955689693189,84.1407719239184
"LSTM_2h",42,4,11.9145578073983,1.69306638436623,85.7899352058629
