"model","perc","train_size","ts_name","rmse_corr","rmse_base","run"
"RF",1,24,"ALL",2.47227378247512,7.47703949743356,0
"RF",1,24,"ALL",2.46447969772618,7.47703949743356,1
"RF",1,24,"ALL",2.44382533246329,7.47703949743356,2
"RF",1,24,"ALL",2.47334867913839,7.47703949743356,3
"RF",1,24,"ALL",2.49144433234504,7.47703949743356,4
"LSTM_2h",1,24,"ALL",2.624128617831,7.47703949743356,0
"LSTM_2h",1,24,"ALL",2.67638238293327,7.47703949743356,1
"LSTM_2h",1,24,"ALL",2.62721035400301,7.47703949743356,2
"LSTM_2h",1,24,"ALL",2.65868771721752,7.47703949743356,3
"LSTM_2h",1,24,"ALL",2.624718188099,7.47703949743356,4
"RF",2,48,"ALL",2.10430828370152,7.47703949743356,0
"RF",2,48,"ALL",2.10254502683586,7.47703949743356,1
"RF",2,48,"ALL",2.11484991749159,7.47703949743356,2
"RF",2,48,"ALL",2.1101940295755,7.47703949743356,3
"RF",2,48,"ALL",2.10601294019778,7.47703949743356,4
"LSTM_2h",2,48,"ALL",2.59333028517528,7.47703949743356,0
"LSTM_2h",2,48,"ALL",2.46329049031445,7.47703949743356,1
"LSTM_2h",2,48,"ALL",2.6399032878197,7.47703949743356,2
"LSTM_2h",2,48,"ALL",2.55088684141656,7.47703949743356,3
"LSTM_2h",2,48,"ALL",2.56510498951073,7.47703949743356,4
"RF",3,72,"ALL",2.03983882687596,7.47703949743356,0
"RF",3,72,"ALL",2.04097613873264,7.47703949743356,1
"RF",3,72,"ALL",2.05524434469083,7.47703949743356,2
"RF",3,72,"ALL",2.04400803501703,7.47703949743356,3
"RF",3,72,"ALL",2.03955367079445,7.47703949743356,4
"LSTM_2h",3,72,"ALL",2.23711326880466,7.47703949743356,0
"LSTM_2h",3,72,"ALL",2.40675546532477,7.47703949743356,1
"LSTM_2h",3,72,"ALL",2.39486854745709,7.47703949743356,2
"LSTM_2h",3,72,"ALL",2.37859286396675,7.47703949743356,3
"LSTM_2h",3,72,"ALL",2.33802722921102,7.47703949743356,4
"RF",7,168,"ALL",2.37772573099592,7.47703949743356,0
"RF",7,168,"ALL",2.36149453044364,7.47703949743356,1
"RF",7,168,"ALL",2.3591365100549,7.47703949743356,2
"RF",7,168,"ALL",2.36096767684814,7.47703949743356,3
"RF",7,168,"ALL",2.37336152661424,7.47703949743356,4
"LSTM_2h",7,168,"ALL",2.27355863093825,7.47703949743356,0
"LSTM_2h",7,168,"ALL",2.35924486767084,7.47703949743356,1
"LSTM_2h",7,168,"ALL",2.31299998570111,7.47703949743356,2
"LSTM_2h",7,168,"ALL",2.24775670947142,7.47703949743356,3
"LSTM_2h",7,168,"ALL",2.33742960244236,7.47703949743356,4
"RF",14,336,"ALL",2.59277199309804,7.47703949743356,0
"RF",14,336,"ALL",2.59517212997644,7.47703949743356,1
"RF",14,336,"ALL",2.59156169825434,7.47703949743356,2
"RF",14,336,"ALL",2.58763886754717,7.47703949743356,3
"RF",14,336,"ALL",2.59231737533552,7.47703949743356,4
"LSTM_2h",14,336,"ALL",2.34279699068065,7.47703949743356,0
"LSTM_2h",14,336,"ALL",2.35469704077477,7.47703949743356,1
"LSTM_2h",14,336,"ALL",2.35364271315213,7.47703949743356,2
"LSTM_2h",14,336,"ALL",2.33704023986837,7.47703949743356,3
"LSTM_2h",14,336,"ALL",2.30630876974063,7.47703949743356,4
"RF",21,504,"ALL",2.41430676771469,7.47703949743356,0
"RF",21,504,"ALL",2.41392562996801,7.47703949743356,1
"RF",21,504,"ALL",2.40813723066638,7.47703949743356,2
"RF",21,504,"ALL",2.40839255664457,7.47703949743356,3
"RF",21,504,"ALL",2.41168274529559,7.47703949743356,4
"LSTM_2h",21,504,"ALL",2.36877218043008,7.47703949743356,0
"LSTM_2h",21,504,"ALL",2.44828302433071,7.47703949743356,1
"LSTM_2h",21,504,"ALL",2.39816481215679,7.47703949743356,2
"LSTM_2h",21,504,"ALL",2.39786587679728,7.47703949743356,3
"LSTM_2h",21,504,"ALL",2.4037333759695,7.47703949743356,4
"RF",28,672,"ALL",2.14567345765581,7.47703949743356,0
"RF",28,672,"ALL",2.12426144588094,7.47703949743356,1
"RF",28,672,"ALL",2.1218271150408,7.47703949743356,2
"RF",28,672,"ALL",2.13418128809879,7.47703949743356,3
"RF",28,672,"ALL",2.14184819703767,7.47703949743356,4
"LSTM_2h",28,672,"ALL",2.45281646422376,7.47703949743356,0
"LSTM_2h",28,672,"ALL",2.35873020093487,7.47703949743356,1
"LSTM_2h",28,672,"ALL",2.31331165223535,7.47703949743356,2
"LSTM_2h",28,672,"ALL",2.30689681486192,7.47703949743356,3
"LSTM_2h",28,672,"ALL",2.50698533662888,7.47703949743356,4
"RF",35,840,"ALL",2.01005556745419,7.47703949743356,0
"RF",35,840,"ALL",2.00774755451447,7.47703949743356,1
"RF",35,840,"ALL",2.01200897796326,7.47703949743356,2
"RF",35,840,"ALL",2.01140643780927,7.47703949743356,3
"RF",35,840,"ALL",2.01536807266228,7.47703949743356,4
"LSTM_2h",35,840,"ALL",2.41406625730925,7.47703949743356,0
"LSTM_2h",35,840,"ALL",2.51058352890784,7.47703949743356,1
"LSTM_2h",35,840,"ALL",2.4620086962829,7.47703949743356,2
"LSTM_2h",35,840,"ALL",2.60007767324217,7.47703949743356,3
"LSTM_2h",35,840,"ALL",2.48200834877291,7.47703949743356,4
"RF",42,1008,"ALL",1.95870973447452,7.47703949743356,0
"RF",42,1008,"ALL",1.96665787993478,7.47703949743356,1
"RF",42,1008,"ALL",1.95416755756214,7.47703949743356,2
"RF",42,1008,"ALL",1.96068507657613,7.47703949743356,3
"RF",42,1008,"ALL",1.95529950218589,7.47703949743356,4
"LSTM_2h",42,1008,"ALL",2.46449485437441,7.47703949743356,0
"LSTM_2h",42,1008,"ALL",2.56690523778936,7.47703949743356,1
"LSTM_2h",42,1008,"ALL",1.69593830517459,7.47703949743356,2
"LSTM_2h",42,1008,"ALL",2.53788140190232,7.47703949743356,3
"LSTM_2h",42,1008,"ALL",2.63566573395237,7.47703949743356,4
