"model","perc","train_size","ts_name","rmse_corr","rmse_base","run"
"RF",1,24,"ALL",2.25490306317935,6.96117524630431,0
"RF",1,24,"ALL",2.26272143347534,6.96117524630431,1
"RF",1,24,"ALL",2.28058684748656,6.96117524630431,2
"RF",1,24,"ALL",2.28956533286591,6.96117524630431,3
"RF",1,24,"ALL",2.27183923746582,6.96117524630431,4
"LSTM_2h",1,24,"ALL",2.34319674806361,6.96117524630431,0
"LSTM_2h",1,24,"ALL",2.35722923065302,6.96117524630431,1
"LSTM_2h",1,24,"ALL",2.32699911529093,6.96117524630431,2
"LSTM_2h",1,24,"ALL",2.32391665691089,6.96117524630431,3
"LSTM_2h",1,24,"ALL",2.35901571849275,6.96117524630431,4
"RF",2,48,"ALL",2.00669644790173,6.96117524630431,0
"RF",2,48,"ALL",2.02626364174209,6.96117524630431,1
"RF",2,48,"ALL",2.00907462126654,6.96117524630431,2
"RF",2,48,"ALL",1.99906293468919,6.96117524630431,3
"RF",2,48,"ALL",2.01343251788974,6.96117524630431,4
"LSTM_2h",2,48,"ALL",2.05982055178512,6.96117524630431,0
"LSTM_2h",2,48,"ALL",1.98464853794238,6.96117524630431,1
"LSTM_2h",2,48,"ALL",2.26814622249362,6.96117524630431,2
"LSTM_2h",2,48,"ALL",1.98155290301538,6.96117524630431,3
"LSTM_2h",2,48,"ALL",1.89951971554893,6.96117524630431,4
"RF",3,72,"ALL",2.03863953049984,6.96117524630431,0
"RF",3,72,"ALL",2.03579908507901,6.96117524630431,1
"RF",3,72,"ALL",2.03204637277398,6.96117524630431,2
"RF",3,72,"ALL",2.03360457208403,6.96117524630431,3
"RF",3,72,"ALL",2.040230377265,6.96117524630431,4
"LSTM_2h",3,72,"ALL",2.22616593914031,6.96117524630431,0
"LSTM_2h",3,72,"ALL",2.21932647173302,6.96117524630431,1
"LSTM_2h",3,72,"ALL",2.24611367220527,6.96117524630431,2
"LSTM_2h",3,72,"ALL",1.98347699516066,6.96117524630431,3
"LSTM_2h",3,72,"ALL",2.25564102318893,6.96117524630431,4
"RF",7,168,"ALL",1.93430599301263,6.96117524630431,0
"RF",7,168,"ALL",1.94036709142112,6.96117524630431,1
"RF",7,168,"ALL",1.94155182301429,6.96117524630431,2
"RF",7,168,"ALL",1.94032324421096,6.96117524630431,3
"RF",7,168,"ALL",1.93483128504515,6.96117524630431,4
"LSTM_2h",7,168,"ALL",1.97310429654208,6.96117524630431,0
"LSTM_2h",7,168,"ALL",2.14830792153071,6.96117524630431,1
"LSTM_2h",7,168,"ALL",2.03291237053662,6.96117524630431,2
"LSTM_2h",7,168,"ALL",1.97706302209004,6.96117524630431,3
"LSTM_2h",7,168,"ALL",1.97741879366673,6.96117524630431,4
"RF",14,270,"ALL",1.81193121557488,6.96117524630431,0
"RF",14,270,"ALL",1.80370958324256,6.96117524630431,1
"RF",14,270,"ALL",1.80146506309514,6.96117524630431,2
"RF",14,270,"ALL",1.80923918752779,6.96117524630431,3
"RF",14,270,"ALL",1.82548648378587,6.96117524630431,4
"LSTM_2h",14,267,"ALL",2.14836293715346,6.96117524630431,0
"LSTM_2h",14,267,"ALL",2.3214112208703,6.96117524630431,1
"LSTM_2h",14,267,"ALL",2.10445068650254,6.96117524630431,2
"LSTM_2h",14,267,"ALL",2.11041823324958,6.96117524630431,3
"LSTM_2h",14,267,"ALL",2.11342883461965,6.96117524630431,4
"RF",21,270,"ALL",1.82334241041122,6.96117524630431,0
"RF",21,270,"ALL",1.80370958324256,6.96117524630431,1
"RF",21,270,"ALL",1.80146506309514,6.96117524630431,2
"RF",21,270,"ALL",1.80923918752779,6.96117524630431,3
"RF",21,270,"ALL",1.82548648378587,6.96117524630431,4
"LSTM_2h",21,267,"ALL",2.18693106536259,6.96117524630431,0
"LSTM_2h",21,267,"ALL",2.28126167451051,6.96117524630431,1
"LSTM_2h",21,267,"ALL",2.3563227626064,6.96117524630431,2
"LSTM_2h",21,267,"ALL",2.1444815208255,6.96117524630431,3
"LSTM_2h",21,267,"ALL",2.12265787566361,6.96117524630431,4
"RF",28,270,"ALL",1.80427840843484,6.96117524630431,0
"RF",28,270,"ALL",1.80370958324256,6.96117524630431,1
"RF",28,270,"ALL",1.80146506309514,6.96117524630431,2
"RF",28,270,"ALL",1.80923918752779,6.96117524630431,3
"RF",28,270,"ALL",1.82548648378587,6.96117524630431,4
"LSTM_2h",28,267,"ALL",2.12045754859115,6.96117524630431,0
"LSTM_2h",28,267,"ALL",2.15442649681599,6.96117524630431,1
"LSTM_2h",28,267,"ALL",2.11324684450701,6.96117524630431,2
"LSTM_2h",28,267,"ALL",2.08861294359652,6.96117524630431,3
"LSTM_2h",28,267,"ALL",2.11815709412623,6.96117524630431,4
"RF",35,270,"ALL",1.82091620746011,6.96117524630431,0
"RF",35,270,"ALL",1.80370958324256,6.96117524630431,1
"RF",35,270,"ALL",1.80146506309514,6.96117524630431,2
"RF",35,270,"ALL",1.80923918752779,6.96117524630431,3
"RF",35,270,"ALL",1.82548648378587,6.96117524630431,4
"LSTM_2h",35,267,"ALL",2.19375388490584,6.96117524630431,0
"LSTM_2h",35,267,"ALL",2.28624239940764,6.96117524630431,1
"LSTM_2h",35,267,"ALL",2.10795214859707,6.96117524630431,2
"LSTM_2h",35,267,"ALL",2.15201567512432,6.96117524630431,3
"LSTM_2h",35,267,"ALL",2.10476761637881,6.96117524630431,4
"RF",42,270,"ALL",1.8065022546555,6.96117524630431,0
"RF",42,270,"ALL",1.80370958324256,6.96117524630431,1
