"model","n_days","run","rmse_base","rmse_corr","improvement_pct"
"RF",1,0,6.62909250705573,2.38421898060052,64.0340064939077
"LSTM_2h",1,0,6.62909250705573,3.89675967523982,41.2172982788779
"RF",1,1,6.62909250705573,2.41842372072439,63.5180272691877
"LSTM_2h",1,1,6.62909250705573,3.84457446160924,42.0045133249047
"RF",1,2,6.62909250705573,2.41616543257495,63.5520935934552
"LSTM_2h",1,2,6.62909250705573,3.78455815930833,42.9098605083546
"RF",1,3,6.62909250705573,2.44976753832295,63.0452051209797
"LSTM_2h",1,3,6.62909250705573,3.80822061226789,42.5529119074054
"RF",1,4,6.62909250705573,2.40728046889972,63.6861234575093
"LSTM_2h",1,4,6.62909250705573,3.73358173370483,43.67884096155
"RF",2,0,6.62909250705573,2.31755770587904,65.039593226187
"LSTM_2h",2,0,6.62909250705573,4.10346823076215,38.0990953679619
"RF",2,1,6.62909250705573,2.3213461906354,64.9824438538963
"LSTM_2h",2,1,6.62909250705573,4.04995662257729,38.9063191037584
"RF",2,2,6.62909250705573,2.3206340747669,64.9931861367613
"LSTM_2h",2,2,6.62909250705573,4.1455591350334,37.4641531910885
"RF",2,3,6.62909250705573,2.31929938859617,65.0133199057397
"LSTM_2h",2,3,6.62909250705573,3.88801829654913,41.3491621604181
"RF",2,4,6.62909250705573,2.31720332370639,65.0449390887205
"LSTM_2h",2,4,6.62909250705573,3.45760330042145,47.841981436504
"RF",3,0,6.62909250705573,2.25810640835269,65.9364173007202
"LSTM_2h",3,0,6.62909250705573,3.82489039710883,42.3014478522093
"RF",3,1,6.62909250705573,2.28413486911838,65.5437774222151
"LSTM_2h",3,1,6.62909250705573,3.89432512433148,41.2540235305734
"RF",3,2,6.62909250705573,2.27546411794326,65.6745758861964
"LSTM_2h",3,2,6.62909250705573,3.50229234580777,47.1678462462233
"RF",3,3,6.62909250705573,2.28051977147491,65.5983112462585
"LSTM_2h",3,3,6.62909250705573,3.66780967816034,44.6710138038279
"RF",3,4,6.62909250705573,2.26568652588,65.8220710682723
"LSTM_2h",3,4,6.62909250705573,3.70693108800805,44.0808665128365
"RF",7,0,6.62909250705573,2.3120492129595,65.1226889578226
"LSTM_2h",7,0,6.62909250705573,3.81836549987367,42.3998760643397
"RF",7,1,6.62909250705573,2.31518539898723,65.075379525583
"LSTM_2h",7,1,6.62909250705573,4.01235794470263,39.4734959508855
"RF",7,2,6.62909250705573,2.32647313589475,64.9051037767455
"LSTM_2h",7,2,6.62909250705573,3.82255343912186,42.3367009126317
"RF",7,3,6.62909250705573,2.30052224297382,65.2965735426796
"LSTM_2h",7,3,6.62909250705573,4.02728362275335,39.2483417833304
"RF",7,4,6.62909250705573,2.29875587851376,65.3232191877386
"LSTM_2h",7,4,6.62909250705573,3.97567668811798,40.0268334785426
"RF",14,0,6.62909250705573,2.53828460481871,61.7099233097582
"LSTM_2h",14,0,6.62909250705573,2.84238103917601,57.1226221967683
"RF",14,1,6.62909250705573,2.54720674768024,61.5753325968961
"LSTM_2h",14,1,6.62909250705573,2.79598159965782,57.822558718529
"RF",14,2,6.62909250705573,2.55285662470173,61.4901040831068
"LSTM_2h",14,2,6.62909250705573,2.75440514258265,58.4497404486214
"RF",14,3,6.62909250705573,2.55817485135321,61.4098785221295
"LSTM_2h",14,3,6.62909250705573,2.6251259240783,60.3999201808659
"RF",14,4,6.62909250705573,2.54216550179802,61.6513798971391
"LSTM_2h",14,4,6.62909250705573,5.71052650320857,13.8565875022784
"RF",21,0,6.62909250705573,2.39641387687136,63.8500462269802
"LSTM_2h",21,0,6.62909250705573,4.73906170160596,28.5111544821271
"RF",21,1,6.62909250705573,2.39862572317186,63.8166804789817
"LSTM_2h",21,1,6.62909250705573,4.45670125204358,32.7705678069803
"RF",21,2,6.62909250705573,2.39790932885776,63.8274873022888
"LSTM_2h",21,2,6.62909250705573,4.70678962711285,28.9979794051275
"RF",21,3,6.62909250705573,2.39866176984602,63.8161367141432
"LSTM_2h",21,3,6.62909250705573,4.77810584543521,27.9221727506504
"RF",21,4,6.62909250705573,2.38641755402982,64.0008409674504
"LSTM_2h",21,4,6.62909250705573,4.58474350758816,30.8390476870197
"RF",28,0,6.62909250705573,2.26000643796881,65.9077553139687
"LSTM_2h",28,0,6.62909250705573,3.23350250416655,51.2225466649479
"RF",28,1,6.62909250705573,2.2245086201414,66.4432406430635
"LSTM_2h",28,1,6.62909250705573,2.75093391847271,58.5021039373831
"RF",28,2,6.62909250705573,2.20003585906765,66.8124127589708
"LSTM_2h",28,2,6.62909250705573,2.91605159873011,56.0113002552553
"RF",28,3,6.62909250705573,2.21291706834589,66.6180994458811
"LSTM_2h",28,3,6.62909250705573,3.22263785100264,51.3864401866077
"RF",28,4,6.62909250705573,2.20414669240313,66.750400751579
