"model","n_days","run","rmse_base","rmse_corr","improvement_pct"
"RF",1,0,6.45505996591761,1.61958693272792,74.9098080997039
"LSTM_2h",1,0,6.45505996591761,2.61721843566031,59.4547773455383
"RF",1,1,6.45505996591761,1.61501982598477,74.9805604516148
"LSTM_2h",1,1,6.45505996591761,2.37268741948073,63.2429840774773
"RF",1,2,6.45505996591761,1.60530967038511,75.1309874910371
"LSTM_2h",1,2,6.45505996591761,2.27587789914538,64.7427303361719
"RF",1,3,6.45505996591761,1.62311017655882,74.8552269827273
"LSTM_2h",1,3,6.45505996591761,2.74306100339535,57.5052591629114
"RF",1,4,6.45505996591761,1.6027665219553,75.170385241689
"LSTM_2h",1,4,6.45505996591761,2.73243016075919,57.6699492307386
"RF",2,0,6.45505996591761,1.4511608851057,77.5190177509155
"LSTM_2h",2,0,6.45505996591761,2.35476408679598,63.520647380055
"RF",2,1,6.45505996591761,1.45627277151751,77.439825823361
"LSTM_2h",2,1,6.45505996591761,2.19400330644034,66.0111088351686
"RF",2,2,6.45505996591761,1.46406816179854,77.3190617975859
"LSTM_2h",2,2,6.45505996591761,2.42811404702175,62.3843301248623
"RF",2,3,6.45505996591761,1.46317333943404,77.3329241376606
"LSTM_2h",2,3,6.45505996591761,2.69738286833184,58.2128921718174
"RF",2,4,6.45505996591761,1.47085528006438,77.2139176424321
"LSTM_2h",2,4,6.45505996591761,2.40161097714691,62.7949083381518
"RF",3,0,6.45505996591761,1.37007199696669,78.7752243325298
"LSTM_2h",3,0,6.45505996591761,2.714890257597,57.9416725494188
"RF",3,1,6.45505996591761,1.38737270223448,78.5072066013369
"LSTM_2h",3,1,6.45505996591761,2.94337712146964,54.4020173784516
"RF",3,2,6.45505996591761,1.40238385629425,78.2746579629195
"LSTM_2h",3,2,6.45505996591761,2.66784490034273,58.6704861855844
"RF",3,3,6.45505996591761,1.39113471174488,78.4489265926266
"LSTM_2h",3,3,6.45505996591761,2.76175173462203,57.2157075348032
"RF",3,4,6.45505996591761,1.37962115812502,78.6272913743738
"LSTM_2h",3,4,6.45505996591761,2.95356977149002,54.2441156691848
"RF",7,0,6.45505996591761,1.66455072726691,74.2132414562272
"LSTM_2h",7,0,6.45505996591761,2.06378724430683,68.0283799809215
"RF",7,1,6.45505996591761,1.64250657995823,74.5547432768931
"LSTM_2h",7,1,6.45505996591761,1.95452363605943,69.7210615179531
"RF",7,2,6.45505996591761,1.65953733709756,74.2909075072914
"LSTM_2h",7,2,6.45505996591761,2.02605609832969,68.6129004373752
"RF",7,3,6.45505996591761,1.66100119809951,74.268229778352
"LSTM_2h",7,3,6.45505996591761,2.04338581156688,68.3444333227599
"RF",7,4,6.45505996591761,1.6255898225389,74.8168129944272
"LSTM_2h",7,4,6.45505996591761,2.01223117258337,68.8270723555187
"RF",14,0,6.45505996591761,1.47220767617855,77.1929666966422
"LSTM_2h",14,0,6.45505996591761,2.31326683885397,64.1635112443897
"RF",14,1,6.45505996591761,1.45757930255196,77.4195854066747
"LSTM_2h",14,1,6.45505996591761,2.23094547872207,65.4388109405436
"RF",14,2,6.45505996591761,1.45505732114832,77.4586552436237
"LSTM_2h",14,2,6.45505996591761,2.20708880644288,65.8083918957191
"RF",14,3,6.45505996591761,1.42738935566773,77.8872796967918
"LSTM_2h",14,3,6.45505996591761,2.21411226154558,65.6995864757883
"RF",14,4,6.45505996591761,1.43187664732289,77.8177638181035
"LSTM_2h",14,4,6.45505996591761,2.27094229447501,64.8191913558438
"RF",21,0,6.45505996591761,1.47079964294216,77.21477955731
"LSTM_2h",21,0,6.45505996591761,2.23243450612326,65.4157433407219
"RF",21,1,6.45505996591761,1.46285955135567,77.3377852556058
"LSTM_2h",21,1,6.45505996591761,2.17939807364988,66.2373690537812
"RF",21,2,6.45505996591761,1.44187853000898,77.6628174235092
"LSTM_2h",21,2,6.45505996591761,2.2896998340337,64.5286047515717
"RF",21,3,6.45505996591761,1.43984090789326,77.6943837006078
"LSTM_2h",21,3,6.45505996591761,2.30524131071173,64.2878405021287
"RF",21,4,6.45505996591761,1.41119510278961,78.1381565742123
"LSTM_2h",21,4,6.45505996591761,2.28828762084414,64.5504823669154
"RF",28,0,6.45505996591761,1.44417111006775,77.6273014086174
"LSTM_2h",28,0,6.45505996591761,2.230304219486,65.4487451509065
"RF",28,1,6.45505996591761,1.46285955135567,77.3377852556058
"LSTM_2h",28,1,6.45505996591761,2.26506760663095,64.9102003917797
"RF",28,2,6.45505996591761,1.44187853000898,77.6628174235092
"LSTM_2h",28,2,6.45505996591761,2.21299400790988,65.7169101511933
"RF",28,3,6.45505996591761,1.43984090789326,77.6943837006078
"LSTM_2h",28,3,6.45505996591761,2.34947440899708,63.6025936025043
"RF",28,4,6.45505996591761,1.41119510278961,78.1381565742123
"LSTM_2h",28,4,6.45505996591761,2.16263271503322,66.4970933430237
"RF",35,0,6.45505996591761,1.46983198117277,77.229770305258
"LSTM_2h",35,0,6.45505996591761,2.19093318262082,66.058670342509
"RF",35,1,6.45505996591761,1.46285955135567,77.3377852556058
"LSTM_2h",35,1,6.45505996591761,2.24997200177866,65.1440573184695
"RF",35,2,6.45505996591761,1.44187853000898,77.6628174235092
"LSTM_2h",35,2,6.45505996591761,2.25038103239498,65.1377207295226
"RF",35,3,6.45505996591761,1.43984090789326,77.6943837006078
"LSTM_2h",35,3,6.45505996591761,2.30227032709621,64.333866156905
"RF",35,4,6.45505996591761,1.41119510278961,78.1381565742123
"LSTM_2h",35,4,6.45505996591761,2.23366720738512,65.3966466744109
"RF",42,0,6.45505996591761,1.45375928394454,77.4787640762391
"LSTM_2h",42,0,6.45505996591761,2.26213329145175,64.9556579893029
"RF",42,1,6.45505996591761,1.46285955135567,77.3377852556058
"LSTM_2h",42,1,6.45505996591761,2.27385980740078,64.7739940541739
"RF",42,2,6.45505996591761,1.44187853000898,77.6628174235092
"LSTM_2h",42,2,6.45505996591761,2.28603227034806,64.5854216317401
"RF",42,3,6.45505996591761,1.43984090789326,77.6943837006078
"LSTM_2h",42,3,6.45505996591761,2.26461551568574,64.9172040594077
"RF",42,4,6.45505996591761,1.41119510278961,78.1381565742123
"LSTM_2h",42,4,6.45505996591761,2.193131839956,66.0246093524209
