"model","rmse_mean_avg","rmse_mean_sd","rmse_min_avg","rmse_min_sd","rmse_max_avg","rmse_max_sd","me_mean_avg","me_mean_sd","me_min_avg","me_min_sd","me_max_avg","me_max_sd","logger"
"base",4.01,1.55,2.6,1.49,13.67,5.47,1.31,3.86,-2.11,1.53,10.21,9.25,"Range_24 25 m"
"rf",0.16,0.1,0.38,0.23,0.59,0.33,0.07,0.14,0.17,0.35,0.13,0.59,"Range_24 25 m"
"lstm",0.69,0.44,1.08,0.59,1.74,0.91,0.16,0.68,-0.24,1.07,-0.2,1.76,"Range_24 25 m"
"base",4.11,1.65,2.29,1.37,12.91,4.79,1.24,3.99,-1.7,1.56,8.83,9.58,"Range_24 45 m"
"rf",0.19,0.13,0.37,0.24,0.62,0.36,0.02,0.2,0.25,0.28,-0.46,0.42,"Range_24 45 m"
"lstm",0.72,0.49,1.12,0.65,1.99,0.95,-0.16,0.72,-0.11,1.13,-1.42,1.42,"Range_24 45 m"
"base",4.13,1.81,3.19,2.09,10.62,3.79,-0.18,4.22,-2.09,2.46,7.24,7.94,"Rosh_HaNikra 15 m"
"rf",0.3,0.17,0.44,0.33,1.21,0.78,-0.11,0.29,0.24,0.38,-0.72,1,"Rosh_HaNikra 15 m"
"lstm",1.48,0.91,1.87,0.95,3.98,2.18,-0.82,1.26,0.14,1.91,-2.6,3.09,"Rosh_HaNikra 15 m"
"base",4.06,2.01,3.96,1.91,17.33,6.68,0.98,3.99,-3.4,2.07,13.62,10.87,"Rosh_HaNikra 25 m"
"rf",0.32,0.21,0.54,0.36,1.1,0.73,-0.14,0.29,-0.27,0.48,0.45,1.02,"Rosh_HaNikra 25 m"
"lstm",0.91,0.53,2.43,1.14,3.94,2.15,-0.51,0.77,-1.57,1.88,1.65,3.62,"Rosh_HaNikra 25 m"
"base",4.6,1.91,3.04,1.16,21.89,8.81,3.15,3.4,-2.81,1.16,20.01,8.99,"Ashkelon 10 m"
"rf",0.55,0.41,1.04,0.83,1.61,1.2,-0.03,0.56,-0.36,0.98,0.88,1.36,"Ashkelon 10 m"
"lstm",0.82,0.56,1.51,0.94,1.98,1.4,-0.32,0.77,-1.08,1.06,0.49,1.94,"Ashkelon 10 m"
"base",4.53,2.08,2.53,1.45,17.84,6.11,3.18,3.3,-2.02,1.54,16.77,6.2,"Ashkelon 15 m"
"rf",0.33,0.18,0.49,0.24,0.57,0.39,0.03,0.34,0.01,0.5,-0.02,0.59,"Ashkelon 15 m"
"lstm",0.63,0.46,1.25,0.83,1.81,0.76,-0.05,0.64,-0.3,1.24,-0.55,1.76,"Ashkelon 15 m"
"base",4.21,1.3,3.66,2.25,11.04,4.87,0.46,4.43,-2.92,2.35,9.99,4.98,"Rosh_HaNikra 45 m"
"rf",0.34,0.18,0.27,0.16,0.63,0.4,-0.29,0.18,-0.12,0.26,-0.4,0.52,"Rosh_HaNikra 45 m"
"lstm",1.94,0.75,1.74,1.08,3.37,2.41,-1.8,0.75,-0.79,1.65,-2.23,2.68,"Rosh_HaNikra 45 m"
