"model","site","rmse_base","rmse_corr","improvement_pct"
"RF","Ashkelon 10 m",10.6843817795821,1.16356973591757,89.1096203793358
"LSTM_2h","Ashkelon 10 m",10.6843817795821,1.79631351852851,83.1874828550093
"RF","Ashkelon 15 m",9.92977011603862,0.495981511237292,95.0051058036462
"LSTM_2h","Ashkelon 15 m",9.92977011603862,1.48499527124592,85.045018626893
"RF","Range_24 25 m",7.60162525814689,0.347240521170561,95.4320226349173
"LSTM_2h","Range_24 25 m",7.60162525814689,1.20334775748255,84.1698621463498
"RF","Range_24 45 m",7.61017634712074,0.416559872630956,94.5262783195746
"LSTM_2h","Range_24 45 m",7.61017634712074,1.46836052670857,80.7053022199135
"RF","Rosh_HaNikra 15 m",6.80955650144437,0.893179810365691,86.88343638567
"LSTM_2h","Rosh_HaNikra 15 m",6.80955650144437,2.90285082249698,57.370926845511
"RF","Rosh_HaNikra 25 m",9.84114400853354,1.08661157813898,88.9584831072816
"LSTM_2h","Rosh_HaNikra 25 m",9.84114400853354,2.51908250305686,74.4025440449557
"RF","Rosh_HaNikra 45 m",7.33411099974592,0.671561139887759,90.8433191165088
"LSTM_2h","Rosh_HaNikra 45 m",7.33411099974592,2.656082878936,63.7845284993912
