"model","rmse_mean_avg","rmse_mean_sd","rmse_min_avg","rmse_min_sd","rmse_max_avg","rmse_max_sd","me_mean_avg","me_mean_sd","me_min_avg","me_min_sd","me_max_avg","me_max_sd","logger"
"base",4.6,1.91,3.04,1.16,21.89,8.81,3.15,3.4,-2.81,1.16,20.01,8.99,"Ashkelon 10 m"
"rf",0.65,0.51,1.03,0.81,1.51,1.13,-0.09,0.65,-0.44,0.94,0.7,1.36,"Ashkelon 10 m"
"lstm",0.93,0.67,2.05,1.03,2.89,2.07,-0.32,0.88,-1.72,1.12,1.77,2.32,"Ashkelon 10 m"
"base",4.53,2.08,2.53,1.45,17.84,6.11,3.18,3.3,-2.02,1.54,16.77,6.2,"Ashkelon 15 m"
"rf",0.24,0.16,0.37,0.22,0.7,0.51,-0.03,0.25,0.11,0.37,-0.3,0.65,"Ashkelon 15 m"
"lstm",0.67,0.43,1.4,0.85,2.03,1.35,-0.11,0.68,-1.02,0.98,0.59,1.98,"Ashkelon 15 m"
"base",4.01,1.55,2.6,1.49,13.67,5.47,1.31,3.86,-2.11,1.53,10.21,9.25,"Range_24 25 m"
"rf",0.12,0.07,0.24,0.14,0.47,0.29,0.03,0.12,0.14,0.2,0.05,0.48,"Range_24 25 m"
"lstm",0.7,0.4,1.08,0.64,1.49,0.88,-0.45,0.54,-0.65,0.88,-0.74,1.32,"Range_24 25 m"
"base",4.11,1.65,2.29,1.37,12.91,4.79,1.24,3.99,-1.7,1.56,8.83,9.58,"Range_24 45 m"
"rf",0.17,0.11,0.26,0.17,0.61,0.38,-0.05,0.17,0.11,0.23,-0.36,0.5,"Range_24 45 m"
"lstm",0.95,0.54,1.38,0.67,1.84,1.05,-0.7,0.66,-0.93,1.04,-0.85,1.66,"Range_24 45 m"
"base",4.13,1.81,3.19,2.09,10.62,3.79,-0.18,4.22,-2.09,2.46,7.24,7.94,"Rosh_HaNikra 15 m"
"rf",0.37,0.22,0.38,0.25,1.39,0.78,-0.13,0.35,0.19,0.33,-0.83,1.14,"Rosh_HaNikra 15 m"
"lstm",1.73,1.12,1.56,0.91,3.63,2,-1.19,1.28,-0.66,1.45,-1.71,3.28,"Rosh_HaNikra 15 m"
"base",4.06,2.01,3.96,1.91,17.33,6.68,0.98,3.99,-3.4,2.07,13.62,10.87,"Rosh_HaNikra 25 m"
"rf",0.78,0.7,0.43,0.27,1.64,1.36,0.1,0.78,-0.13,0.41,0.42,1.61,"Rosh_HaNikra 25 m"
"lstm",0.93,0.48,2.52,1.54,3.53,2.12,-0.67,0.65,-1.83,1.75,0.88,3.47,"Rosh_HaNikra 25 m"
"base",4.21,1.3,3.66,2.25,11.04,4.87,0.46,4.43,-2.92,2.35,9.99,4.98,"Rosh_HaNikra 45 m"
"rf",0.36,0.2,0.31,0.14,1.13,0.67,-0.29,0.21,0.08,0.31,-0.93,0.67,"Rosh_HaNikra 45 m"
"lstm",1.58,0.46,1.67,1.08,4,2.26,-1.52,0.46,-0.78,1.57,-0.92,4.13,"Rosh_HaNikra 45 m"
