"model","rmse_mean_avg","rmse_mean_sd","rmse_min_avg","rmse_min_sd","rmse_max_avg","rmse_max_sd","me_mean_avg","me_mean_sd","me_min_avg","me_min_sd","me_max_avg","me_max_sd","logger"
"base",7.08,1.42,6.37,1.61,8.37,1.76,-6.94,1.42,-6.17,1.61,-8.19,1.76,"Bush_M_T_1_W"
"rf",0.71,0.5,0.94,0.55,0.89,0.54,-0.09,0.72,0.19,0.94,-0.16,0.89,"Bush_M_T_1_W"
"lstm",0.81,0.53,1.06,0.67,1.28,0.85,-0.19,0.8,-0.22,1.06,-0.45,1.22,"Bush_M_T_1_W"
"base",7.58,1.35,7.7,1.51,7.48,1.67,-7.46,1.35,-7.55,1.51,-7.3,1.67,"Rock_L_T_2_W"
"rf",0.93,0.69,1.44,0.83,1.43,0.83,-0.59,0.73,-1.16,0.87,0.74,1.24,"Rock_L_T_2_W"
"lstm",0.98,0.58,1.75,0.86,1.3,0.73,-0.65,0.74,-1.49,0.93,0.61,1.17,"Rock_L_T_2_W"
"base",7.94,1.41,7.7,1.42,7.97,1.65,-7.82,1.41,-7.58,1.42,-7.8,1.65,"Rock_M_T_1_W"
"rf",1.23,0.75,1.41,0.73,1.08,0.58,-0.97,0.77,-1.22,0.73,0.25,1.07,"Rock_M_T_1_W"
"lstm",1.34,0.72,1.83,0.86,1.11,0.66,-1.08,0.8,-1.62,0.86,-0.06,1.12,"Rock_M_T_1_W"
"base",7.79,1.39,6.3,1.45,13.16,2.87,-7.67,1.39,-6.14,1.45,-12.85,2.87,"Rock_S_T_1_W"
"rf",1.1,0.7,0.81,0.45,5.33,2.36,-0.82,0.75,0.22,0.8,-4.8,2.36,"Rock_S_T_1_W"
"lstm",1.24,0.72,0.9,0.59,5.77,2.65,-0.93,0.84,-0.18,0.89,-5.1,2.73,"Rock_S_T_1_W"
"base",8.44,1.5,8.18,1.5,8.58,1.86,-8.31,1.5,-8.05,1.5,-8.38,1.86,"Rock_L_M_1_W"
"rf",0.92,0.68,0.95,0.72,1.36,0.75,-0.31,0.89,-0.57,0.77,0.62,1.23,"Rock_L_M_1_W"
