"model","site","rmse_base","rmse_corr","improvement_pct"
"RF","Bush_M_T_1_W",7.19934235981949,0.969040195003081,86.5398789698983
"LSTM_2h","Bush_M_T_1_W",7.19934235981949,1.20120340103439,83.3150954490168
"RF","Rock_L_T_2_W",7.64061454013023,1.35313336980473,82.2902547602975
"LSTM_2h","Rock_L_T_2_W",7.64061454013023,1.42716160790569,81.3213766980403
"RF","Rock_M_T_1_W",7.99015927800288,1.48424770175586,81.4240536375535
"LSTM_2h","Rock_M_T_1_W",7.99015927800288,1.60450943065417,79.9189305891383
"RF","Rock_S_T_1_W",8.10613326404813,1.86880388442211,76.9458035841759
"LSTM_2h","Rock_S_T_1_W",8.10613326404813,2.05505344108104,74.6481660967073
"RF","Rock_L_M_1_W",8.52187321317832,1.27783957049318,85.0051797471346
"LSTM_2h","Rock_L_M_1_W",8.52187321317832,1.35308124480945,84.122255624303
"RF","Rock_L_M_2_W",8.78211307826646,1.4047862990697,84.0040057950723
"LSTM_2h","Rock_L_M_2_W",8.78211307826646,1.46164677292751,83.3565480209459
"RF","Rock_M_M_2_W",9.09801554948216,1.67650256655809,81.5728764427808
"LSTM_2h","Rock_M_M_2_W",9.09801554948216,1.73070989690878,80.9770615636364
"RF","Rock_S_M_2_W",9.01109801898414,1.30530401340037,85.5144843541773
"LSTM_2h","Rock_S_M_2_W",9.01109801898414,1.53772540389903,82.9352050032146
"RF","Bush_M_M_1_W",8.32191298877551,1.20964605221465,85.4643270862576
"LSTM_2h","Bush_M_M_1_W",8.32191298877551,1.43369678940358,82.7720286028304
"RF","Bush_S_M_1_W",8.17848296644696,1.02945713814596,87.4126150000017
"LSTM_2h","Bush_S_M_1_W",8.17848296644696,1.26512243335461,84.5310867731228
"RF","Rock_M_M_1_W",9.40392993655965,1.91807361768137,79.6034888539049
"LSTM_2h","Rock_M_M_1_W",9.40392993655965,2.07685311149527,77.9150512019333
"RF","Rock_S_M_1_W",9.24855987503716,1.65010427067909,82.1582571451703
"LSTM_2h","Rock_S_M_1_W",9.24855987503716,1.8606581528734,79.8816445153206
"RF","Bush_L_M_1_W",8.9565947020008,1.39440374077489,84.431541370702
"LSTM_2h","Bush_L_M_1_W",8.9565947020008,1.55999242670321,82.5827507149037
"RF","Bush_L_M_2_W",8.63365102317795,1.09026021902937,87.3719679414601
"LSTM_2h","Bush_L_M_2_W",8.63365102317795,1.18847254731792,86.2344152650213
"RF","Bush_L_T_1_W",6.39880351936504,1.37272756221093,78.5471212226384
"LSTM_2h","Bush_L_T_1_W",6.39880351936504,1.4017736899988,78.0931906135806
"RF","Bush_L_T_2_W",7.56030200996146,1.29122216833174,82.9210239666296
"LSTM_2h","Bush_L_T_2_W",7.56030200996146,1.32517290096855,82.471958141057
"RF","Bush_M_M_2_W",8.61112094351379,1.43612372355702,83.3224532209275
"LSTM_2h","Bush_M_M_2_W",8.61112094351379,1.55813962841963,81.9054959436695
"RF","Bush_M_T_2_W",7.40754409195575,1.06605132672231,85.6085726458247
"LSTM_2h","Bush_M_T_2_W",7.40754409195575,1.16441535116471,84.2806828186253
"RF","Bush_S_M_2_W",9.21005827249505,1.63783981123947,82.2168355206751
"LSTM_2h","Bush_S_M_2_W",9.21005827249505,1.78922549852332,80.5731359608585
"RF","Bush_S_T_1_W",7.73978105700318,1.17761259755575,84.7849365649664
"LSTM_2h","Bush_S_T_1_W",7.73978105700318,1.29372572463387,83.2847245276626
"RF","Bush_S_T_2_W",8.02422845480734,1.68578242695472,78.9913455673765
"LSTM_2h","Bush_S_T_2_W",8.02422845480734,1.81054662358295,77.4365020415358
"RF","Rock_L_T_1_W",7.84202903146075,1.51604484828018,80.6676965591673
"LSTM_2h","Rock_L_T_1_W",7.84202903146075,1.56238975649446,80.0767154747012
"RF","Rock_M_T_2_W",8.11146991425244,1.42927726462824,82.3795529079521
"LSTM_2h","Rock_M_T_2_W",8.11146991425244,1.49550441134855,81.5630899558557
"RF","Rock_S_T_2_W",5.35117535618924,1.04859632017598,80.4043737986804
"LSTM_2h","Rock_S_T_2_W",5.35117535618924,0.827626991225396,84.5337344389555
"RF","Bush_L_M_1_S",8.75163833524828,1.33209750153256,84.778878531036
"LSTM_2h","Bush_L_M_1_S",8.75163833524828,1.59603373870283,81.7630290745149
"RF","Bush_L_M_2_S",9.63229782947338,1.56551250232842,83.7472581304724
"LSTM_2h","Bush_L_M_2_S",9.63229782947338,1.80514119851073,81.2594956004447
"RF","Bush_L_T_1_S",9.64626176265297,3.24804830892269,66.3284245354192
"LSTM_2h","Bush_L_T_1_S",9.64626176265297,3.55584556366816,63.137579601715
"RF","Bush_L_T_2_S",9.63692990756453,3.0995193651903,67.8370664213576
"LSTM_2h","Bush_L_T_2_S",9.63692990756453,3.41945450697644,64.5171798511025
"RF","Bush_M_M_1_S",8.0592829956381,1.53769579043107,80.9201911477322
"LSTM_2h","Bush_M_M_1_S",8.0592829956381,1.71743851350997,78.6899341487389
"RF","Bush_M_M_2_S",8.04002134222094,0.918066070340777,88.5812980928335
"LSTM_2h","Bush_M_M_2_S",8.04002134222094,1.36956695606881,82.9656303413432
"RF","Bush_M_T_1_S",10.4036144947423,3.33225849218723,67.9701848442073
"LSTM_2h","Bush_M_T_1_S",10.4036144947423,3.75653464299446,63.8920238260183
"RF","Bush_M_T_2_S",7.94223712679744,1.53628564233855,80.656764362335
"LSTM_2h","Bush_M_T_2_S",7.94223712679744,1.81590167111895,77.1361438581074
"RF","Bush_S_M_1_S",9.56038883908109,1.7773585776364,81.4091392353113
"LSTM_2h","Bush_S_M_1_S",9.56038883908109,2.26495781742302,76.3089362206242
"RF","Bush_S_M_2_S",9.56021759371102,1.73128160167166,81.8907719965438
"LSTM_2h","Bush_S_M_2_S",9.56021759371102,1.98796702135134,79.205839178189
"RF","Bush_S_T_1_S",9.63893801935502,2.75583453899685,71.4093551233224
"LSTM_2h","Bush_S_T_1_S",9.63893801935502,3.10904773500818,67.7449141309426
"RF","Bush_S_T_2_S",7.88044454718675,1.70724756187627,78.3356439899606
"LSTM_2h","Bush_S_T_2_S",7.88044454718675,1.9766936589625,74.9164701670521
"RF","Rock_L_M_1_S",7.81186706574131,1.73621658863606,77.7746270638657
"LSTM_2h","Rock_L_M_1_S",7.81186706574131,1.63041978234835,79.1289359044715
"RF","Rock_L_M_2_S",7.89842568243848,1.80749522159641,77.1157532618781
"LSTM_2h","Rock_L_M_2_S",7.89842568243848,1.87138787046337,76.3068243507785
"RF","Rock_L_T_1_S",7.39921600467465,3.51275693077302,52.5252820223961
"LSTM_2h","Rock_L_T_1_S",7.39921600467465,3.28833062114863,55.5583913340124
"RF","Rock_L_T_2_S",7.08545705434997,2.82140927892433,60.1802783182183
"LSTM_2h","Rock_L_T_2_S",7.08545705434997,2.54184323113603,64.1259101334116
"RF","Rock_M_M_1_S",8.39069872303192,1.3075905436127,84.4161900364335
"LSTM_2h","Rock_M_M_1_S",8.39069872303192,1.3807853430038,83.5438574476089
"RF","Rock_M_M_2_S",8.38165031965031,1.41761939382018,83.086631632715
"LSTM_2h","Rock_M_M_2_S",8.38165031965031,1.56064671892385,81.3801977008633
"RF","Rock_M_T_1_S",7.78784857444108,3.08837667330973,60.3436476224581
"LSTM_2h","Rock_M_T_1_S",7.78784857444108,2.8625455788285,63.2434355718846
"RF","Rock_M_T_2_S",8.73670574460559,2.47312125170953,71.6927486857785
"LSTM_2h","Rock_M_T_2_S",8.73670574460559,2.17890065462033,75.0603863937426
"RF","Rock_S_M_1_S",8.73710075215292,0.962165962141899,88.9875830731973
"LSTM_2h","Rock_S_M_1_S",8.73710075215292,1.27324100372002,85.4271910117749
"RF","Rock_S_M_2_S",9.88061678787018,1.47038090509897,85.1185311942867
"LSTM_2h","Rock_S_M_2_S",9.88061678787018,1.67524604567792,83.0451268210856
"RF","Rock_S_T_1_S",8.63291065374732,1.52038037972174,82.3885542118778
"LSTM_2h","Rock_S_T_1_S",8.63291065374732,1.76131219307364,79.5977015896822
"RF","Rock_S_T_2_S",8.11778136236643,2.24711342744085,72.3186259011811
"LSTM_2h","Rock_S_T_2_S",8.11778136236643,2.8131372165546,65.3459844386035
