"model","rmse_mean_avg","rmse_mean_sd","rmse_min_avg","rmse_min_sd","rmse_max_avg","rmse_max_sd","me_mean_avg","me_mean_sd","me_min_avg","me_min_sd","me_max_avg","me_max_sd","logger"
"base",8.44,1.5,8.18,1.5,8.58,1.86,-8.31,1.5,-8.05,1.5,-8.38,1.86,"Rock_L_M_1_W"
"rf",0.93,0.69,0.94,0.71,1.37,0.74,-0.31,0.89,-0.58,0.75,0.64,1.23,"Rock_L_M_1_W"
"lstm",1.34,0.77,1.64,0.9,1.7,1.07,-0.79,1.1,-1.25,1.08,0.35,1.69,"Rock_L_M_1_W"
"base",8.7,1.49,8.59,1.59,8.81,1.8,-8.58,1.49,-8.45,1.59,-8.63,1.8,"Rock_L_M_2_W"
"rf",1.06,0.84,1.2,0.84,1.25,0.74,-0.54,0.93,-0.83,0.88,0.26,1.24,"Rock_L_M_2_W"
"lstm",1.48,0.88,1.78,0.93,1.53,0.92,-1.03,1.08,-1.39,1.14,-0.14,1.55,"Rock_L_M_2_W"
"base",8.98,1.37,8.94,1.54,8.8,1.34,-8.88,1.37,-8.81,1.54,-8.7,1.34,"Rock_M_M_2_W"
"rf",1.14,0.78,1.43,0.81,0.81,0.44,-0.84,0.78,-1.19,0.81,0.2,0.8,"Rock_M_M_2_W"
"lstm",1.64,0.84,2.07,0.88,1.25,0.78,-1.34,0.97,-1.75,1.13,-0.21,1.26,"Rock_M_M_2_W"
"base",8.91,1.52,7.91,1.66,10.59,1.65,-8.79,1.52,-7.74,1.66,-10.47,1.65,"Rock_S_M_2_W"
"rf",1.13,0.8,0.89,0.64,1.82,0.92,-0.74,0.86,-0.12,0.89,-1.57,0.92,"Rock_S_M_2_W"
"lstm",1.63,0.86,1.41,0.89,2.4,1.03,-1.23,1.09,-0.67,1.26,-1.98,1.39,"Rock_S_M_2_W"
"base",8.22,1.39,7.45,1.62,10.04,2.2,-8.1,1.39,-7.28,1.62,-9.81,2.2,"Bush_M_M_1_W"
"rf",0.8,0.54,0.82,0.48,2.12,1.63,-0.1,0.81,0.19,0.81,-0.79,2,"Bush_M_M_1_W"
"lstm",1.11,0.65,1.26,0.8,2.52,1.76,-0.59,0.96,-0.48,1.18,-1.08,2.32,"Bush_M_M_1_W"
"base",8.09,1.51,7.36,1.78,9.44,1.62,-7.95,1.51,-7.15,1.78,-9.3,1.62,"Bush_S_M_1_W"
"rf",0.82,0.5,1,0.57,0.95,0.58,0.05,0.84,0.32,0.97,-0.28,0.92,"Bush_S_M_1_W"
