"model","site","rmse_base","rmse_corr","improvement_pct"
"RF","Rock_L_M_1_W",8.52187321317832,1.2782858774987,84.9999425534524
"LSTM_2h","Rock_L_M_1_W",8.52187321317832,1.7257818735464,79.7487966509801
"RF","Rock_L_M_2_W",8.78211307826646,1.40365334170596,84.0169065326698
"LSTM_2h","Rock_L_M_2_W",8.78211307826646,1.8038004412645,79.4605190665507
"RF","Rock_M_M_2_W",9.09801554948216,1.67432644310227,81.5967951033282
"LSTM_2h","Rock_M_M_2_W",9.09801554948216,2.11665300632961,76.7350034211572
"RF","Rock_S_M_2_W",9.01109801898414,1.30274693318379,85.5428613645171
"LSTM_2h","Rock_S_M_2_W",9.01109801898414,1.86621770595247,79.2897857506287
"RF","Bush_M_M_1_W",8.32191298877551,1.20453547098919,85.5257382213218
"LSTM_2h","Bush_M_M_1_W",8.32191298877551,1.60230910150572,80.745904172912
"RF","Bush_S_M_1_W",8.17848296644696,1.02576998690361,87.4576985595992
"LSTM_2h","Bush_S_M_1_W",8.17848296644696,1.43385613166584,82.4679450021675
"RF","Rock_M_M_1_W",9.40392993655965,1.91012899739727,79.6879707709087
"LSTM_2h","Rock_M_M_1_W",9.40392993655965,2.44983435303719,73.9488238474325
"RF","Rock_S_M_1_W",9.24855987503716,1.64053778779804,82.2616946858286
"LSTM_2h","Rock_S_M_1_W",9.24855987503716,2.19347855778064,76.2830258178782
"RF","Bush_L_M_1_W",8.9565947020008,1.39127516996944,84.4664717310626
"LSTM_2h","Bush_L_M_1_W",8.9565947020008,1.73654167128974,80.611585886522
"RF","Bush_L_M_2_W",8.63365102317795,1.09152889076328,87.3572734428001
"LSTM_2h","Bush_L_M_2_W",8.63365102317795,1.46035271364819,83.0853400290593
"RF","Bush_M_M_2_W",8.61112094351379,1.4343979351466,83.3424946118421
"LSTM_2h","Bush_M_M_2_W",8.61112094351379,1.65538188088848,80.7762323657134
"RF","Bush_S_M_2_W",9.21005827249505,1.6314145253366,82.2865993127463
"LSTM_2h","Bush_S_M_2_W",9.21005827249505,2.00201213825468,78.262763611024
"RF","Bush_L_M_1_S",8.75163833524828,1.34398908813011,84.6430001258504
"LSTM_2h","Bush_L_M_1_S",8.75163833524828,1.69955349887782,80.5801675780789
"RF","Bush_L_M_2_S",9.63229782947338,1.56275329099814,83.775903541766
"LSTM_2h","Bush_L_M_2_S",9.63229782947338,2.04765751504299,78.741754550223
"RF","Bush_M_M_1_S",8.0592829956381,1.53340134937941,80.973476794284
"LSTM_2h","Bush_M_M_1_S",8.0592829956381,1.65078597035585,79.516962349513
"RF","Bush_M_M_2_S",8.04002134222094,0.925467889362007,88.4892359115758
"LSTM_2h","Bush_M_M_2_S",8.04002134222094,1.49393039247051,81.4188255368756
"RF","Bush_S_M_1_S",9.56038883908109,1.80345805405235,81.1361432635444
"LSTM_2h","Bush_S_M_1_S",9.56038883908109,2.37384338335041,75.170012189812
"RF","Bush_S_M_2_S",9.56021759371102,1.72218339008056,81.9859394077655
"LSTM_2h","Bush_S_M_2_S",9.56021759371102,2.20853328523179,76.8987131978604
"RF","Rock_L_M_1_S",7.81186706574131,1.7200854428001,77.9811224599113
"LSTM_2h","Rock_L_M_1_S",7.81186706574131,1.5705880467018,79.8948441712537
"RF","Rock_L_M_2_S",7.89842568243848,1.82362701939621,76.9115125885036
"LSTM_2h","Rock_L_M_2_S",7.89842568243848,1.65745842035065,79.015331827001
"RF","Rock_M_M_1_S",8.39069872303192,1.30816258719265,84.4093724447306
"LSTM_2h","Rock_M_M_1_S",8.39069872303192,1.45931568563072,82.6079360753951
"RF","Rock_M_M_2_S",8.38165031965031,1.43675661869821,82.8583087589587
"LSTM_2h","Rock_M_M_2_S",8.38165031965031,1.47586362775767,82.3917298924105
"RF","Rock_S_M_1_S",8.73710075215292,0.98104238544123,88.7715340217464
"LSTM_2h","Rock_S_M_1_S",8.73710075215292,1.42230951916026,83.7210356214584
"RF","Rock_S_M_2_S",9.88061678787018,1.4793658881664,85.0275957470335
"LSTM_2h","Rock_S_M_2_S",9.88061678787018,1.98923047482696,79.8673451512762
"RF","Bush_M_T_1_W",7.19934235981949,1.33303163394131,81.4839805177048
"LSTM_2h","Bush_M_T_1_W",7.19934235981949,1.29409663052249,82.0247938513799
"RF","Rock_L_T_2_W",7.64061454013023,1.52753849921279,80.0076487147754
"LSTM_2h","Rock_L_T_2_W",7.64061454013023,1.52530751013912,80.0368477937493
"RF","Rock_M_T_1_W",7.99015927800288,1.65690919459383,79.2631268420975
"LSTM_2h","Rock_M_T_1_W",7.99015927800288,1.62399905151427,79.6750102843985
"RF","Rock_S_T_1_W",8.10613326404813,2.10125778633421,74.07817367556
"LSTM_2h","Rock_S_T_1_W",8.10613326404813,1.98480155971889,75.514817051901
"RF","Bush_L_T_1_W",6.39880351936504,1.43193254337509,77.6218704162183
"LSTM_2h","Bush_L_T_1_W",6.39880351936504,1.51390534355447,76.3408059182805
"RF","Bush_L_T_2_W",7.56030200996146,1.45248481944272,80.7880053266534
"LSTM_2h","Bush_L_T_2_W",7.56030200996146,1.27635954596966,83.1176116471547
"RF","Bush_M_T_2_W",7.40754409195575,1.29314717153856,82.54283531106
"LSTM_2h","Bush_M_T_2_W",7.40754409195575,1.31105577449164,82.3010736322801
"RF","Bush_S_T_1_W",7.73978105700318,1.48627367324261,80.7969545611656
