"logger","daily_mean_avg","daily_mean_sd","daily_min_avg","daily_min_sd","daily_max_avg","daily_max_sd"
"Bush_M_M_1_W",18.99,2.2,16.17,2.2,22.94,2.76
"Bush_S_M_1_W",18.78,2.46,15.8,2.38,22.75,3.05
"Rock_L_M_1_W",19.05,2.26,16.87,2.11,21.4,2.61
"Rock_L_M_2_W",19.15,2.32,17.15,2.11,21.26,2.85
"Rock_M_M_1_W",19.58,2.67,17.02,2.45,24.14,4.53
"Rock_M_M_2_W",19.51,2.36,17.33,2.28,21.95,2.84
"Rock_S_M_1_W",19.44,2.74,16.21,2.53,23.29,3.33
"Rock_S_M_2_W",19.39,2.46,16.24,2.33,23.37,3.02
"Bush_L_M_1_S",36.41,1.77,30.96,1.92,44.5,2.1
"Bush_L_M_2_S",37,1.78,31.49,2.01,43.11,2.37
"Bush_M_M_1_S",35.53,1.7,30.14,2.22,40.2,1.81
"Bush_S_M_1_S",37.31,1.7,31.2,2.08,44.55,2.64
"Bush_S_M_2_S",37.17,1.94,31.16,2.11,44.09,2.26
"Rock_L_M_1_S",35.16,1.69,31.24,2.13,39.16,2.01
"Rock_L_M_2_S",35.19,1.77,31.07,2.35,39.31,1.64
"Rock_M_M_1_S",35.9,1.69,31.57,1.99,41.63,2.06
"Rock_M_M_2_S",35.92,1.84,31.74,1.9,41.58,2.46
"Rock_S_M_1_S",36.39,1.75,31.25,2,43.13,1.89
"Rock_S_M_2_S",37.66,1.76,32.25,2.05,44.1,1.7
"Bush_M_M_2_S",37.32,1.53,32.48,2.1,44.28,2.2
"Bush_L_M_1_W",19.78,2.03,16.56,1.95,24.44,2.83
"Bush_L_M_2_W",19.7,1.92,16.97,1.86,23.22,2.34
"Bush_M_M_2_W",19.62,1.96,16.51,1.84,24.24,2.82
"Bush_S_M_2_W",19.92,2.27,16.53,2.02,24.43,3.06
"Bush_M_T_1_W",18.28,2.3,15.33,2.25,22.03,2.79
"Rock_L_T_2_W",18.57,2.32,16.74,2.22,20.4,2.58
"Rock_M_T_1_W",18.95,2.38,16.59,2.2,21.2,2.7
"Rock_S_T_1_W",18.78,2.45,15.26,2.31,25.06,4.22
"Bush_L_T_1_S",36.94,1.86,28.74,2.35,49.95,3.34
"Bush_L_T_2_S",37.14,1.67,29.18,2.12,48.33,3.5
"Bush_M_T_1_S",37.98,1.85,29.88,2.31,52.39,3.6
"Bush_M_T_2_S",36.13,1.66,29.93,2.13,45.13,4.17
"Bush_S_T_1_S",37.65,1.86,29.73,1.88,49.72,2.75
"Bush_S_T_2_S",36.09,1.83,29.42,2.1,45.55,2.48
"Rock_L_T_1_S",35.04,1.72,31.34,2.03,38.35,1.96
"Rock_L_T_2_S",34.9,1.7,31.1,2.21,38.34,1.63
"Rock_M_T_1_S",35.71,1.69,32.1,1.88,38.97,1.72
"Rock_M_T_2_S",34.72,1.89,30.05,2.15,38.99,1.97
"Rock_S_T_1_S",36.95,1.71,30.09,2.01,45.38,1.83
"Rock_S_T_2_S",37.96,1.62,31.07,1.59,47.04,2.15
"Bush_L_T_1_W",18.25,1.79,15.34,1.65,22.62,2.74
"Bush_L_T_2_W",18.84,2.21,15.2,1.98,24.46,3.1
"Bush_M_T_2_W",18.75,2.29,15.95,2.1,22.64,2.98
"Bush_S_T_1_W",19.02,2.17,15.66,2.08,23.51,2.69
"Bush_S_T_2_W",18.9,2.42,15.29,2.08,24.99,3.58
"Rock_L_T_1_W",19.23,1.97,17.52,2,20.91,2.1
"Rock_M_T_2_W",19.55,2.01,17.05,1.88,22.03,2.36
"Rock_S_T_2_W",18.66,2.38,15.06,1.76,23.62,3.8
