"model","window_size","perc","train_size","ts_name","rmse_corr","rmse_base","run","site","pipeline"
"RF",NA,1,24,"ALL",1.52931227709488,2.07031921452137,0,"harod2_air","R"
"RF",NA,1,24,"ALL",1.52238966950351,2.07031921452137,1,"harod2_air","R"
"RF",NA,1,24,"ALL",1.50721275569289,2.07031921452137,2,"harod2_air","R"
"RF",NA,1,24,"ALL",1.53211506873162,2.07031921452137,3,"harod2_air","R"
"RF",NA,1,24,"ALL",1.51869001569239,2.07031921452137,4,"harod2_air","R"
"RF",NA,2,48,"ALL",1.27654542980761,2.07031921452137,0,"harod2_air","R"
"RF",NA,2,48,"ALL",1.27779223461285,2.07031921452137,1,"harod2_air","R"
"RF",NA,2,48,"ALL",1.27553818168804,2.07031921452137,2,"harod2_air","R"
"RF",NA,2,48,"ALL",1.29067316194183,2.07031921452137,3,"harod2_air","R"
"RF",NA,2,48,"ALL",1.28284916356608,2.07031921452137,4,"harod2_air","R"
"RF",NA,3,72,"ALL",1.23667591553834,2.07031921452137,0,"harod2_air","R"
"RF",NA,3,72,"ALL",1.24399914304974,2.07031921452137,1,"harod2_air","R"
"RF",NA,3,72,"ALL",1.23218984729522,2.07031921452137,2,"harod2_air","R"
"RF",NA,3,72,"ALL",1.24291712954753,2.07031921452137,3,"harod2_air","R"
"RF",NA,3,72,"ALL",1.23784893991833,2.07031921452137,4,"harod2_air","R"
"RF",NA,7,168,"ALL",1.69848889754465,2.07031921452137,0,"harod2_air","R"
"RF",NA,7,168,"ALL",1.68805999361226,2.07031921452137,1,"harod2_air","R"
"RF",NA,7,168,"ALL",1.67575639611714,2.07031921452137,2,"harod2_air","R"
"RF",NA,7,168,"ALL",1.68076992838095,2.07031921452137,3,"harod2_air","R"
"RF",NA,7,168,"ALL",1.67071420849448,2.07031921452137,4,"harod2_air","R"
"RF",NA,14,336,"ALL",1.77706882175397,2.07031921452137,0,"harod2_air","R"
"RF",NA,14,336,"ALL",1.77639317551243,2.07031921452137,1,"harod2_air","R"
"RF",NA,14,336,"ALL",1.76456399770151,2.07031921452137,2,"harod2_air","R"
"RF",NA,14,336,"ALL",1.77793208627334,2.07031921452137,3,"harod2_air","R"
"RF",NA,14,336,"ALL",1.79023201361013,2.07031921452137,4,"harod2_air","R"
"RF",NA,21,504,"ALL",1.27280488297861,2.07031921452137,0,"harod2_air","R"
"RF",NA,21,504,"ALL",1.27681978531831,2.07031921452137,1,"harod2_air","R"
"RF",NA,21,504,"ALL",1.2817670933151,2.07031921452137,2,"harod2_air","R"
"RF",NA,21,504,"ALL",1.27770738736639,2.07031921452137,3,"harod2_air","R"
"RF",NA,21,504,"ALL",1.28101689608274,2.07031921452137,4,"harod2_air","R"
"RF",NA,28,672,"ALL",1.21459764224695,2.07031921452137,0,"harod2_air","R"
"RF",NA,28,672,"ALL",1.22283987865552,2.07031921452137,1,"harod2_air","R"
"RF",NA,28,672,"ALL",1.22284509004215,2.07031921452137,2,"harod2_air","R"
"RF",NA,28,672,"ALL",1.21364611501953,2.07031921452137,3,"harod2_air","R"
"RF",NA,28,672,"ALL",1.22100372902395,2.07031921452137,4,"harod2_air","R"
"RF",NA,35,840,"ALL",1.16672477333818,2.07031921452137,0,"harod2_air","R"
"RF",NA,35,840,"ALL",1.17399692096109,2.07031921452137,1,"harod2_air","R"
"RF",NA,35,840,"ALL",1.17545518620372,2.07031921452137,2,"harod2_air","R"
"RF",NA,35,840,"ALL",1.17183348012934,2.07031921452137,3,"harod2_air","R"
"RF",NA,35,840,"ALL",1.1740088401499,2.07031921452137,4,"harod2_air","R"
"RF",NA,42,984,"ALL",1.1077233720621,2.07031921452137,0,"harod2_air","R"
"RF",NA,42,984,"ALL",1.10766747365884,2.07031921452137,1,"harod2_air","R"
"RF",NA,42,984,"ALL",1.10536199637293,2.07031921452137,2,"harod2_air","R"
"RF",NA,42,984,"ALL",1.10767109491681,2.07031921452137,3,"harod2_air","R"
"RF",NA,42,984,"ALL",1.11153304728266,2.07031921452137,4,"harod2_air","R"
