"model","window_size","perc","train_size","ts_name","rmse_corr","rmse_base","run","site","pipeline"
"RF",NA,1,24,"ALL",5.65523752491416,10.5223381718246,0,"harod2_shd","R"
"RF",NA,1,24,"ALL",5.72391022478667,10.5223381718246,1,"harod2_shd","R"
"RF",NA,1,24,"ALL",5.69968378369122,10.5223381718246,2,"harod2_shd","R"
"RF",NA,1,24,"ALL",5.71136751186491,10.5223381718246,3,"harod2_shd","R"
"RF",NA,1,24,"ALL",5.67043491316551,10.5223381718246,4,"harod2_shd","R"
"RF",NA,2,48,"ALL",5.75136843683219,10.5223381718246,0,"harod2_shd","R"
"RF",NA,2,48,"ALL",5.74588692346393,10.5223381718246,1,"harod2_shd","R"
"RF",NA,2,48,"ALL",5.7656891394461,10.5223381718246,2,"harod2_shd","R"
"RF",NA,2,48,"ALL",5.8009760274387,10.5223381718246,3,"harod2_shd","R"
"RF",NA,2,48,"ALL",5.73296111283578,10.5223381718246,4,"harod2_shd","R"
"RF",NA,3,72,"ALL",6.0970737660531,10.5223381718246,0,"harod2_shd","R"
"RF",NA,3,72,"ALL",6.09266272147821,10.5223381718246,1,"harod2_shd","R"
"RF",NA,3,72,"ALL",6.06862093234808,10.5223381718246,2,"harod2_shd","R"
"RF",NA,3,72,"ALL",6.06186210319591,10.5223381718246,3,"harod2_shd","R"
"RF",NA,3,72,"ALL",6.11199554187918,10.5223381718246,4,"harod2_shd","R"
"RF",NA,7,168,"ALL",4.96856018861035,10.5223381718246,0,"harod2_shd","R"
"RF",NA,7,168,"ALL",4.96456594037029,10.5223381718246,1,"harod2_shd","R"
"RF",NA,7,168,"ALL",4.94688570471054,10.5223381718246,2,"harod2_shd","R"
"RF",NA,7,168,"ALL",4.95192491122676,10.5223381718246,3,"harod2_shd","R"
"RF",NA,7,168,"ALL",4.95564175978544,10.5223381718246,4,"harod2_shd","R"
"RF",NA,14,336,"ALL",5.13498352657975,10.5223381718246,0,"harod2_shd","R"
"RF",NA,14,336,"ALL",5.12720354036175,10.5223381718246,1,"harod2_shd","R"
"RF",NA,14,336,"ALL",5.13669589271282,10.5223381718246,2,"harod2_shd","R"
"RF",NA,14,336,"ALL",5.1397468201763,10.5223381718246,3,"harod2_shd","R"
"RF",NA,14,336,"ALL",5.13115187398414,10.5223381718246,4,"harod2_shd","R"
"RF",NA,21,504,"ALL",3.42275983081549,10.5223381718246,0,"harod2_shd","R"
"RF",NA,21,504,"ALL",3.41931499413939,10.5223381718246,1,"harod2_shd","R"
"RF",NA,21,504,"ALL",3.4285958321752,10.5223381718246,2,"harod2_shd","R"
"RF",NA,21,504,"ALL",3.43165015580481,10.5223381718246,3,"harod2_shd","R"
"RF",NA,21,504,"ALL",3.42904424043157,10.5223381718246,4,"harod2_shd","R"
"RF",NA,28,672,"ALL",3.06950703287199,10.5223381718246,0,"harod2_shd","R"
"RF",NA,28,672,"ALL",3.05075568847029,10.5223381718246,1,"harod2_shd","R"
"RF",NA,28,672,"ALL",3.04949280068985,10.5223381718246,2,"harod2_shd","R"
"RF",NA,28,672,"ALL",3.05070617254852,10.5223381718246,3,"harod2_shd","R"
"RF",NA,28,672,"ALL",3.0833636100478,10.5223381718246,4,"harod2_shd","R"
"RF",NA,35,840,"ALL",2.81069188455527,10.5223381718246,0,"harod2_shd","R"
"RF",NA,35,840,"ALL",2.80476280920179,10.5223381718246,1,"harod2_shd","R"
"RF",NA,35,840,"ALL",2.80153004094958,10.5223381718246,2,"harod2_shd","R"
"RF",NA,35,840,"ALL",2.78641586086779,10.5223381718246,3,"harod2_shd","R"
"RF",NA,35,840,"ALL",2.79612128953455,10.5223381718246,4,"harod2_shd","R"
"RF",NA,42,985,"ALL",2.37384916062461,10.5223381718246,0,"harod2_shd","R"
"RF",NA,42,985,"ALL",2.40212817928114,10.5223381718246,1,"harod2_shd","R"
"RF",NA,42,985,"ALL",2.38321406475335,10.5223381718246,2,"harod2_shd","R"
"RF",NA,42,985,"ALL",2.39448559100679,10.5223381718246,3,"harod2_shd","R"
"RF",NA,42,985,"ALL",2.37882597776263,10.5223381718246,4,"harod2_shd","R"
