"model","perc","train_size","rmse_corr","rmse_base","run"
"RF",7,168,6.21155318682631,9.01719510528874,0
"RF",7,168,6.17033363244604,9.01719510528874,1
"RF",7,168,6.15521072626902,9.01719510528874,2
"RF",7,168,6.15244235511859,9.01719510528874,3
"RF",7,168,6.16174410497549,9.01719510528874,4
"RF",21,504,5.09072907752169,9.01719510528874,0
"RF",21,504,5.06753697486994,9.01719510528874,1
"RF",21,504,5.05838972127279,9.01719510528874,2
"RF",21,504,5.07076690102839,9.01719510528874,3
"RF",21,504,5.08638072956008,9.01719510528874,4
"RF",42,985,4.37469821977126,9.01719510528874,0
"RF",42,985,4.42794048892523,9.01719510528874,1
"RF",42,985,4.40809231570734,9.01719510528874,2
"RF",42,985,4.41297171661173,9.01719510528874,3
"RF",42,985,4.42233005929859,9.01719510528874,4
"LSTM_2h",7,168,7.72754244533991,9.01719510528874,0
"LSTM_2h",7,168,7.66295618537484,9.01719510528874,1
"LSTM_2h",7,168,7.79266726138765,9.01719510528874,2
"LSTM_2h",7,168,7.54847104825436,9.01719510528874,3
"LSTM_2h",7,168,7.67761516436083,9.01719510528874,4
"LSTM_2h",21,504,7.90366282680101,9.01719510528874,0
"LSTM_2h",21,504,8.06587424423416,9.01719510528874,1
"LSTM_2h",21,504,7.40237031602607,9.01719510528874,2
"LSTM_2h",21,504,7.38434250448102,9.01719510528874,3
"LSTM_2h",21,504,7.41840790505413,9.01719510528874,4
"LSTM_2h",42,983,3.4388394457156,9.01719510528874,0
"LSTM_2h",42,983,3.87119219531007,9.01719510528874,1
"LSTM_2h",42,983,3.34720070585062,9.01719510528874,2
"LSTM_2h",42,983,3.71306163601377,9.01719510528874,3
"LSTM_2h",42,983,8.31976366422503,9.01719510528874,4
